locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי 1990+ מסך האוכלוסייה,ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),gini_wage_2019,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,gender_wage_ratio,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 44-30,"נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר ל-1,000 תושבים",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 59-45,מקבלי דמי אבטלה (ממוצע חודשי) גברים,יהודים (אחוזים מתוך יהודים ואחרים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),נכנסים מיישובים אחרים גיל 64-30,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
482,בועיינה-נוג'ידאת,2021,Knesset_24,3459,0.4625614339404452,3.717688062735986,3.252977054893988,0.9294220156839964,92.09991286668604,0.01,99.9,0.38,3.24,71.9,7464.04,37.0,17.5,1.6052305574673094,1415.8,16.29,9.47,20.66,30.2,11.96,24.070237742921968,48.82,50.45,51.88,78.64,785.0,32.3,14.08,274.0,27.5,99.9,0.1,16,1,0,0,0,0,0
482,בועיינה-נוג'ידאת,2022,Knesset_25,3924,0.2803261977573904,1.81446460516228,2.402248913876821,0.7155635062611807,95.06772297469972,0.01,99.9,0.38,3.16,70.6,7947.66,38.69,16.6,1.6515069196974876,1437.1,15.86,9.3,20.84,46.6,12.87,19.82782835709919,46.88,52.91,56.2,74.6,767.0,32.21,14.41,29.92,,99.9,,24,1,0,0,0,0,0
483,בענה,2019,Knesset_21,3944,4.994929006085193,4.510274886575927,3.763010408326661,4.270082732852949,87.45663197224445,0.4,99.9,0.39,3.18,58.0,5702.54,37.0,15.05,1.4864526222976513,2516.6,13.38,7.8,18.56,39.3,7.86,26.89037002987819,39.68,48.91,42.86,60.33,747.6,33.2,17.36,32.0,55.1,93.1,0.1,21,1,0,0,0,0,0
483,בענה,2019,Knesset_22,4158,1.5151515151515151,0.927960927960928,1.9291819291819288,0.4884004884004884,96.65445665445664,0.4,99.9,0.39,3.18,58.0,5702.54,37.0,15.05,1.4864526222976513,2516.6,13.38,7.8,18.56,39.3,7.86,26.89037002987819,39.68,48.91,42.86,60.33,747.6,33.2,17.36,32.0,55.1,93.1,0.1,21,1,0,0,0,0,0
483,בענה,2020,Knesset_23,4450,0.2022471910112359,0.4503490204908804,1.080837649178113,0.9232154920063048,97.54559783832472,0.1,99.8,0.39,3.37,61.1,5902.546353522867,35.91,16.74,1.59366576819407,2438.5,12.13,8.66,19.16,46.6,8.4,25.729191368271284,38.51,40.8,34.1,52.74,767.0,32.9,15.48,285.0,55.1,92.6,0.1,21,1,0,0,0,0,0
483,בענה,2021,Knesset_24,3254,0.2765826674861708,2.403697996918336,2.2187981510015407,0.3389830508474576,95.03852080123266,0.04,99.8,0.39,3.47,61.3,7233.24,37.0,18.6,1.509961113194228,2468.5,10.84,8.35,19.06,26.1,9.45,24.601686972820996,36.6,41.92,53.6,60.48,739.0,32.6,15.96,200.0,55.1,92.6,0.1,18,1,0,0,0,0,0
483,בענה,2022,Knesset_25,3748,0.5069370330843116,0.8849557522123894,1.4481094127111829,0.6436041834271923,97.02333065164925,0.04,99.8,0.39,3.27,61.5,7498.82,39.52,15.8,1.507118463125936,2495.3,11.88,7.9,19.1,33.9,10.35,21.903266368055995,38.49,49.69,59.43,73.29,711.0,32.41,16.21,24.75,,92.6,,27,1,0,0,0,0,0
485,ג'ולס,2019,Knesset_21,2549,4.00156924284033,25.1736820596649,71.43440948099715,2.860645688598284,0.5312627707396812,0.2,100.0,0.4,2.92,73.7,8365.49,38.0,15.87,2.368009401592815,1663.9,11.95,7.4,22.71,37.5,19.55,1.4923145799134458,12.0,62.96,46.46,71.3,558.7,31.0,16.85,32.0,,0.3,,12,1,0,0,0,0,1
485,ג'ולס,2019,Knesset_22,2850,0.4561403508771929,9.199859005992243,88.8967218893197,1.4099400775467044,0.4934790271413465,0.2,100.0,0.4,2.92,73.7,8365.49,38.0,15.87,2.368009401592815,1663.9,11.95,7.4,22.71,37.5,19.55,1.4923145799134458,12.0,62.96,46.46,71.3,558.7,31.0,16.85,32.0,,0.3,,12,1,0,0,0,0,1
485,ג'ולס,2020,Knesset_23,2815,0.2841918294849023,13.181332383327396,72.46170288564304,11.221945137157109,3.1350195938724617,0.0,100.0,0.4,3.25,73.9,8335.255063105371,35.62,16.6,2.365356317006517,1630.7,12.89,7.75,21.41,62.2,20.1,1.5227653418608194,11.74,66.39,28.06,86.55,628.0,31.2,17.89,117.0,,0.4,,10,1,0,0,0,0,1
