סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,417,134,141,139,3,5,4,4,1,3,69,39,30,11,19,"1,280",657,623,284,339,23.26,0.73,0.75,0.71,67.20,43.20,14.10,32.20,21.56,3.75,175,30.40,8.70,5.60,12.20,45.90,82.86,7.82,3.89
473,אבו סנאן,642,217,227,189,9,7,4,6,3,3,107,55,52,30,22,"2,425","1,242","1,183",645,538,24.81,2.29,3.57,1.03,68.54,53.99,13.10,28.40,11.62,2.25,299,31.20,4.91,5.60,19.20,29.17,84.28,9.09,3.47
182,אבן יהודה,674,224,188,225,37,7,5,4,1,3,145,79,66,22,44,"4,079","2,232","1,847",729,"1,118",28.26,0.53,0.54,0.52,84.40,79.36,56.80,49.50,13.17,3.17,327,30.50,5.14,4.30,16.90,25.44,74.92,13.74,2.22
"2,710",אום אל-פחם,"3,272","1,051","1,107","1,059",55,30,18,21,8,13,571,302,269,117,152,"14,177","7,332","6,845","3,141","3,704",26.52,1.17,1.55,0.78,63.31,47.18,8.80,28.50,11.39,2.17,"1,438",31.80,2.09,6.40,17.40,34.91,79.49,10.64,3.02
31,אופקים,"2,439",809,751,731,148,25,17,12,2,10,301,199,102,29,73,"6,473","4,241","2,232",664,"1,568",24.16,1.06,1.72,0.41,51.86,39.30,13.80,20.30,7.24,1.96,652,28.70,5.06,5.30,17.40,27.61,50.15,9.91,2.89
"2,400",אור יהודה,"1,971",646,674,583,68,17,11,10,3,7,239,146,93,34,59,"5,537","3,226","2,311","1,020","1,291",24.47,0.82,1.34,0.28,77.46,59.43,14.20,32.80,13,2.46,598,30,8.70,4.60,16.60,33.61,67.89,10.88,2.79
"1,020",אור עקיבא,"1,122",357,353,372,40,12,6,9,3,6,168,87,81,36,45,"3,531","1,773","1,758",902,856,23.53,1.01,..,..,86.55,68.49,15.70,26.90,9.52,2.12,458,31.20,6.55,4.40,16.90,43.45,80.79,8.81,3.62
"3,760",אורנית,545,146,175,197,27,4,3,1,-,1,71,51,20,-,20,"2,003","1,402",601,-,601,27.46,..,..,..,86.01,84.62,49.70,46.40,17.47,3.84,180,30.70,11.11,3.40,13.60,25,84.44,13.25,2.35
565,אזור,676,196,225,236,19,4,3,1,1,-,46,36,10,10,-,"1,266",939,327,327,-,26.08,1.01,1.14,0.89,84.87,68.91,22.90,37.90,17.08,2.71,130,30.30,10.17,4.20,15.70,26.75,84.62,13.22,2.35
"2,600",אילת,"2,602",769,851,905,77,22,14,14,5,9,377,211,166,71,95,"8,672","4,831","3,841","1,875","1,966",24.95,1.13,1.29,0.97,70.14,61.74,11.40,24.70,8.23,2.39,"1,016",34.30,6.20,5.30,15.20,38.68,83.07,9.85,3.56
478,אכסאל,862,314,287,249,12,9,6,7,2,5,154,73,81,34,47,"3,580","1,718","1,862",904,958,27.08,1.26,1.97,0.45,66.56,51.88,14.40,27.30,13.04,2.80,334,32,3.09,4.40,17,25.88,83.83,11.41,2.83
