סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
41,אליכין,161,48,56,48,9,1,1,-,-,-,6,6,-,-,-,147,147,-,-,-,24.50,..,..,-,76.47,60.78,28.70,..,14.13,3.29,..,..,..,..,..,..,..,..,..
"1,309",אלעד,"4,715","1,397","1,422","1,511",385,80,45,40,2,38,715,538,177,12,165,"17,304","12,593","4,711",286,"4,425",24.93,1.20,1.61,0.81,28.28,19.56,11.60,16.30,6.34,1.40,"1,016",29.60,6.99,4,15.70,12.30,39.57,14.19,2.09
"3,750",אלפי מנשה,379,110,115,142,12,3,2,1,1,-,51,33,18,18,-,"1,406",918,488,488,-,28.44,0.32,..,..,84.33,78.36,37.80,..,13.06,2.85,124,30.30,6.90,5.80,16,36.25,83.06,13.14,2.33
"3,560",אלקנה,259,85,75,89,10,4,1,5,3,2,55,16,39,22,17,"1,468",427,"1,041",608,433,26.69,..,..,..,91.30,89.86,69.80,..,35.54,6.71,171,30.60,7.55,3.80,16.70,22.75,82.46,9.42,3.29
529,אעבלין,729,247,222,256,4,9,7,5,1,4,160,84,76,17,59,"4,000","2,203","1,797",379,"1,418",27.65,0.75,1.54,-,70.56,58.06,12.80,37.80,15.35,2.76,373,31.30,3.32,5.20,16.80,30.95,77.48,11.24,2.81
"3,650",אפרת,917,299,302,271,45,10,6,5,1,4,151,103,48,12,36,"3,131","2,145",986,216,770,24.48,0.43,..,..,91.62,89.39,51.40,56.10,23.72,5.48,442,28.70,7.54,4,16.90,23.67,80.09,7.78,3.62
"3,570",אריאל,990,324,309,303,54,8,6,3,1,2,127,87,40,19,21,"2,851","1,914",937,485,452,25.85,0.97,1.16,0.77,88.27,73.98,25.70,48,48.02,10.69,363,31.60,9.64,5.50,15.30,39.67,73.83,9.50,3.43
70,אשדוד,"12,909","4,078","4,143","4,104",584,138,89,81,21,60,"1,880","1,139",741,232,509,"45,026","26,936","18,090","6,300","11,790",26.79,0.74,1.12,0.34,57.81,49.36,16.20,31.80,11.77,2.27,"4,122",31.10,5.31,4.80,18.30,35.32,68.80,11.53,2.71
"7,100",אשקלון,"8,012","2,667","2,586","2,518",241,58,41,33,12,21,964,570,394,160,234,"24,573","14,446","10,127","4,687","5,440",27.78,1.08,1.58,0.55,76.81,67.56,20,41.50,13.39,2.59,"2,700",31.70,7.70,4.90,16.40,34.52,78.11,10.49,3.07
"6,000",באקה אל-גרביה,"1,681",539,566,535,41,14,9,9,3,6,271,142,129,52,77,"7,114","3,622","3,492","1,535","1,957",27.72,0.36,0.55,0.17,68.72,53.25,13.70,36.30,16.56,3.02,700,31,2.71,6,17,46.29,81.43,10.85,2.88
"2,530",באר יעקב,"2,540",841,838,796,65,19,12,11,3,8,265,157,108,39,69,"7,003","4,201","2,802","1,188","1,614",28.34,1.00,1.38,0.61,72.80,58.62,35,25.10,8.70,1.88,706,29.50,11.01,4.10,14.10,29.08,76.20,11.58,2.54
"9,000",באר שבע,"10,094","3,248","3,407","3,161",278,85,58,51,19,32,"1,406",788,618,260,358,"33,592","18,258","15,334","7,020","8,314",26.09,0.90,1.28,0.50,78.33,62.07,22.50,33.50,17.45,3.89,"3,837",32.50,6.59,5.30,17,40.55,74.43,9.87,3.34
482,בועיינה-נוג'ידאת,610,203,202,200,5,6,4,5,3,2,108,56,52,25,27,"2,452","1,239","1,213",584,629,23.94,0.82,1.62,-,71.43,50,11.20,27.40,15.14,2.78,260,32.90,0.79,4.80,18.70,25.67,85.88,10.33,3.20
"4,001",בוקעאתא,334,108,104,115,7,3,2,2,1,1,58,33,25,14,11,"1,404",714,690,375,315,22.48,0.56,..,..,94.74,69.47,6.80,..,16.80,2.69,161,32.40,3.87,5.80,16.50,35.15,91.30,9.76,3.39
998,ביר אל-מכסור,661,237,201,210,13,4,3,2,1,1,88,51,37,19,18,"2,210","1,167","1,043",511,532,23.98,0.58,1.17,-,45.33,38.79,8.50,13.70,10.71,2.22,235,32.10,1.29,8.20,19.10,42.93,86.38,10.51,3.14
"3,574",בית אל,446,157,131,124,34,7,3,5,1,4,106,48,58,18,40,"2,501","1,120","1,381",402,979,26.30,1.06,..,..,85.07,75.37,49.40,54.90,27.73,8.18,314,30.20,6.44,5.80,18.50,31.35,82.80,8.59,3.54
"3,652",בית אריה-עופרים,293,88,88,105,12,3,2,1,1,-,35,26,9,9,-,812,580,232,232,-,25,1.14,..,..,86.54,79.81,30.40,..,12.12,3.17,90,29.20,4.65,5,14,35.71,81.11,11.15,2.75
480,בית ג'ן,577,190,196,190,..,4,3,2,1,1,93,48,45,20,25,"2,341","1,156","1,185",592,593,25.52,0.82,0.63,1.02,95.83,79.17,16.30,35.60,15.90,3.70,246,32.10,4.24,5.60,18.40,30.43,93.09,10.84,3.04
466,בית דגן,275,93,107,69,6,2,2,-,-,-,20,20,-,-,-,560,560,-,-,-,28.84,..,..,-,85.96,74.56,26.30,44.90,16.66,3.70,56,29.50,19.15,4.50,15.90,28.30,85.71,13.66,2.14
"9,200",בית שאן,"1,068",353,322,355,38,15,10,11,5,6,204,115,89,37,52,"3,903","2,261","1,642",792,850,22.11,1.73,2.11,1.31,71.33,59.73,14,33.70,11.94,2.89,502,32.20,7.57,4.50,17.50,40.24,71.91,8.78,3.76
"2,610",בית שמש,"10,619","3,334","3,358","3,169",758,141,84,72,9,63,"1,351",922,429,83,346,"30,625","20,808","9,817","1,831","7,986",25.03,1.87,2.58,1.11,33.94,29.00,10.70,30.40,8.79,1.75,"2,637",28.60,5.88,4.20,16.40,25.67,58.21,10.52,2.73
"3,780",ביתר עילית,"7,066","2,259","2,254","2,067",486,92,50,45,-,45,838,651,187,-,187,"20,805","15,721","5,084",-,"5,084",25.55,2.10,3.16,1.01,8.53,4.08,6.20,15.30,4.09,0.97,"1,435",33.70,7.53,3.70,16.20,12.47,37.77,12.34,2.73
"6,100",בני ברק,"19,059","6,230","5,858","5,741","1,230",213,114,119,6,113,"2,138","1,423",715,34,681,"55,132","35,627","19,505",705,"18,800",27.27,1.73,3.04,0.40,5.89,4.92,7.30,7.40,2.77,0.85,"2,976",24.50,6.18,4.30,21.70,14.31,27.92,14.73,1.66
"1,066","בני עי""ש",311,91,99,107,14,2,2,-,-,-,15,15,-,-,-,357,357,-,-,-,25,1.26,..,..,78.72,72.34,13.50,..,11.93,2.43,..,..,..,..,..,..,..,..,..
"9,800",בנימינה-גבעת עדה*,667,193,214,238,22,7,5,4,2,2,121,66,55,28,27,"3,561","1,902","1,659",831,828,28.48,0.99,0.98,0.99,87.10,85.48,61.50,46.50,10.86,3.45,325,30.70,3.56,4.80,17.10,28.07,86.88,12.26,2.52
"1,326","בסמ""ה",715,234,237,230,14,7,3,4,2,2,112,63,49,25,24,"2,829","1,540","1,289",656,633,26.69,0.60,0.72,0.46,63.08,41.59,13.80,27,13.09,2.67,282,32.40,1.81,5.50,17.70,31.07,86.17,11.13,2.96
944,בסמת טבעון,454,141,158,143,12,4,3,2,1,1,63,37,26,14,12,"1,502",787,715,362,353,22.41,2.02,3.46,0.63,62.80,48.78,8.50,22.70,11.53,2.48,168,31.60,3.70,6.10,16.90,36.09,76.19,10.22,3.17
483,בענה,442,138,155,141,8,5,3,3,1,2,86,44,42,16,26,"2,021",959,"1,062",384,678,22.93,1.07,0.79,1.35,52.74,40.80,8.40,32.10,16.74,3.21,219,32.90,4.29,5.90,17.30,34.10,75.80,9.93,3.37
"6,200",בת ים,"5,035","1,477","1,621","1,714",223,47,29,30,12,18,748,439,309,142,167,"16,902","9,574","7,328","3,664","3,664",24.62,1.26,1.85,0.65,74.98,61.08,10.40,30.80,9.71,1.53,"1,955",31.70,9.10,6.20,16.40,36.52,70.03,9.80,3.27
"3,730",גבעת זאב,"1,722",538,529,533,122,10,9,3,2,1,98,85,13,10,3,"2,072","1,896",176,158,18,24.29,2.54,3.41,1.61,44.66,32.44,22.20,33.50,11.90,2.93,218,27,7.39,4.60,14.70,31.29,70.64,9.71,2.77
681,גבעת שמואל,"1,566",499,496,533,38,8,5,6,3,3,178,102,76,42,34,"5,162","2,831","2,331","1,312","1,019",28.67,0.30,0.35,0.24,88.46,85.99,58.70,63.50,34.32,5.94,483,31.40,9.32,4.40,15.50,40.37,73.71,11.95,2.64
"6,300",גבעתיים,"2,639",801,866,880,92,14,10,5,-,5,291,200,91,-,91,"8,298","5,640","2,658",-,"2,658",29.49,0.20,..,..,93.99,87.60,57,53,21.82,4.44,746,30.20,8.98,4.60,16.40,46.38,75.60,13.39,2.28
"1,292",ג'דיידה-מכר,953,346,297,300,10,10,6,7,3,4,172,89,83,40,43,"4,188","2,054","2,134","1,069","1,065",24.47,2.21,4.07,0.52,73.06,50.78,10.90,33.90,12.78,2.42,454,32,2.02,7.40,19.20,38.54,77.53,10.06,3.23
"2,550",גדרה,"1,407",377,470,485,75,15,10,10,4,6,257,134,123,50,73,"6,760","3,256","3,504","1,625","1,879",26.27,0.60,..,..,91.54,82.18,44.10,58,12.82,3.37,652,32,4.65,4.70,17.50,26.86,83.28,11.78,2.76
485,ג'ולס,315,103,111,98,3,3,2,2,1,1,46,24,22,10,12,"1,134",564,570,292,278,24.86,..,..,-,86.55,66.39,20.10,..,16.60,3.87,127,31.20,3.25,5.50,19.60,28.06,90.55,9.74,3.25
627,ג'לג'וליה,581,197,178,205,..,5,3,2,1,1,91,54,37,21,16,"2,149","1,204",945,484,461,27.25,2.02,3.37,0.67,65,48.33,10.90,35,13.85,2.67,238,31.10,3.93,6.50,16.60,39.16,73.95,9.52,3.28
166,גן יבנה,"1,073",324,354,349,46,8,6,4,2,2,179,96,83,42,41,"4,935","2,499","2,436","1,287","1,149",27.18,0.51,0.73,0.29,84.29,77.71,34.10,46.30,17.16,4.20,434,32.80,4.83,4.60,17.80,25.84,84.56,12.96,2.58
229,גני תקווה,"1,273",386,415,420,52,10,7,3,1,2,146,96,50,23,27,"4,192","2,670","1,522",750,772,28.40,0.78,1.17,0.41,86.24,79.19,55.60,48.40,17.87,2.92,365,29.90,9.28,4.70,14,33.57,72.33,13.38,2.24
541,ג'סר א-זרקא,"1,052",344,349,346,13,8,5,4,2,2,151,87,64,33,31,"3,535","1,971","1,564",833,731,26.55,1.45,2.41,0.53,40.66,18.68,2.10,6.80,6.42,1.14,404,32.20,3.86,8.10,15.20,53.29,84.41,9.47,3.43
487,ג'ש (גוש חלב),126,43,42,39,..,2,1,1,-,1,23,15,8,-,8,536,358,178,-,178,23.55,..,..,-,82.69,71.15,27.20,..,23.92,4.08,57,34.60,1.79,8.40,23.80,35.29,71.93,10.59,3.31
628,ג'ת,705,239,216,229,21,6,3,3,2,1,92,48,44,22,22,"2,640","1,322","1,318",676,642,29.45,0.99,..,..,78.71,69.88,26.20,45.30,26.08,4.50,225,33.50,1.81,5.90,21.40,27.57,74.67,13.05,2.61
494,דאלית אל-כרמל,859,262,270,281,46,7,4,3,1,2,105,59,46,22,24,"2,545","1,416","1,129",603,526,25.92,0.43,0.49,0.36,86.87,70.27,15.90,32.60,17.41,3.49,297,31.40,4.95,5.10,18.50,27.57,83.50,10.20,3.16
489,דבורייה,579,195,176,193,15,4,3,2,1,1,88,46,42,20,22,"2,336","1,136","1,200",577,623,25.63,0.54,..,..,64.47,58.33,17.90,35.20,20.44,3.87,200,32.70,0.50,4.80,19,25.26,77.50,12.94,2.58
490,דייר אל-אסד,747,230,260,239,18,5,3,3,2,1,110,57,53,31,22,"2,843","1,434","1,409",804,605,27.06,0.71,-,-,63.60,54.40,13.90,29,17.85,3.19,257,33.30,2.80,5.20,19.50,26.67,80.16,12.47,2.75
492,דייר חנא,555,174,182,195,4,5,3,2,1,1,80,44,36,18,18,"2,131","1,115","1,016",510,506,25.74,0.53,..,..,90.91,77.27,15.70,30.50,22.07,3.76,203,32.60,2.53,4.70,19.20,24.48,81.28,11.58,2.85
"2,200",דימונה,"1,892",621,632,581,58,24,15,17,7,10,308,171,137,61,76,"6,792","3,555","3,237","1,540","1,697",22.28,1.64,2.33,0.95,81.34,68.15,13.20,26.70,10,2.45,791,33,5.82,4.40,18.50,39.06,80.91,9.59,3.50
"9,700",הוד השרון,"3,248",970,"1,032","1,076",170,27,16,13,6,7,432,249,183,73,110,"12,355","6,973","5,382","2,442","2,940",29.10,0.84,0.81,0.88,90.79,85.71,55.60,55.90,19.65,3.49,"1,216",30.50,7.15,4.30,16.70,47.20,76.97,11.63,2.66
"3,769",הר אדר,184,61,58,53,12,1,1,-,-,-,17,17,-,-,-,445,445,-,-,-,26.18,4.12,5.71,2.36,90.53,83.16,56.60,..,14.76,5.21,..,..,..,..,..,..,..,..,..
"6,400",הרצלייה,"4,146","1,305","1,372","1,376",93,33,17,22,12,10,561,293,268,127,141,"14,869","7,747","7,122","3,627","3,495",28.40,1.08,1.11,1.04,83.95,77.50,46.70,49.60,19.81,3.55,"1,569",30.50,8.16,4.40,16.30,43.59,75.27,11.03,2.79
"9,300",זכרון יעקב,"1,037",297,328,363,49,17,11,10,2,8,228,149,79,11,68,"5,335","3,508","1,827",249,"1,578",26.51,1.25,1.21,1.28,81.25,76.30,52.80,37.40,17.50,4.17,523,28.50,6.73,4.70,16.10,29.19,72.85,10.52,2.71
"1,290",זמר,405,131,122,144,8,4,2,2,1,1,63,32,31,9,22,"1,631",756,875,219,656,25.21,0.80,..,..,78.38,63.06,14,39.30,17.25,3,144,33.50,0.70,4.90,19.40,25.26,86.11,12.04,2.83
975,זרזיר,586,214,189,177,6,4,3,2,1,1,78,44,34,16,18,"2,005","1,005","1,000",482,518,23.88,0.85,..,..,61.93,42.05,10.20,20.90,10.96,2.18,192,32.80,2.67,3.80,18.20,20.88,81.25,11.77,2.83
"6,500",חדרה,"5,287","1,663","1,729","1,623",272,51,35,28,8,20,720,430,290,123,167,"17,151","9,973","7,178","3,168","4,010",26.78,0.69,0.95,0.43,74.76,62.10,23.10,31.80,10.68,2.32,"1,811",30.30,6.52,4.90,16.80,36.00,76.20,10.89,2.79
"6,600",חולון,"9,120","2,869","3,036","2,967",248,60,38,43,19,24,"1,134",627,507,228,279,"29,149","16,221","12,928","6,291","6,637",28.08,0.64,0.91,0.36,78.21,65.40,23.90,40.10,15.10,2.46,"3,047",32.10,7.52,4.80,16,41.09,70.53,11.04,2.95
"1,303",חורה,"1,543",477,498,556,12,14,9,12,5,7,298,158,140,58,82,"6,987","3,624","3,363","1,464","1,899",25.89,2.93,4.21,1.69,65.77,44.74,11,20.10,11.40,1.95,780,33.70,8.94,5.40,11.50,46.96,70.13,9.97,3.43
496,חורפיש,353,113,137,102,..,3,2,2,1,1,59,31,28,14,14,"1,394",694,700,339,361,23.93,-,-,-,92.48,81.95,23.60,41.20,19,4.74,167,32.20,6.37,4.50,16.50,27.27,89.22,8.97,3.62
"4,000",חיפה,"12,041","3,645","3,947","3,913",536,127,79,74,23,51,"1,824","1,066",758,245,513,"44,061","25,695","18,366","6,126","12,240",26.93,0.97,1.20,0.73,75.43,64.48,34.70,43.60,24.74,4.91,"4,823",30.10,6.72,5.20,17.10,44.23,76.55,9.90,3.05
"2,034",חצור הגלילית,658,206,213,208,31,11,6,7,2,5,123,69,54,16,38,"2,384","1,220","1,164",296,868,18.98,0.85,0.62,1.10,59.06,39.60,14,32.70,9.61,2.63,294,29.80,6.52,5.20,18.80,27.66,62.24,8.96,3.37
"1,247",חריש,"1,796",606,584,555,51,9,7,3,2,1,101,86,15,11,4,"2,227","1,984",243,214,29,25,2.42,2.89,1.91,69.23,58.46,27.70,..,8.31,1.90,302,28.60,21.29,4.90,9.80,50,86.42,..,..
"6,700",טבריה,"2,670",907,872,784,107,38,23,21,5,16,409,224,185,59,126,"8,822","4,825","3,997","1,418","2,579",23.39,1.51,2.14,0.89,66.50,49.75,10.80,25.30,8.49,1.98,"1,050",31.10,7.24,4.70,17.20,34.10,73.14,9.19,3.44
962,טובא-זנגרייה,415,138,137,135,5,3,2,2,1,1,56,32,24,14,10,"1,286",706,580,312,268,24.63,1.28,..,..,67.69,37.69,7.30,..,11.36,2.24,150,34,0.67,7.20,18.30,39.34,82,9.89,3.51
498,טורעאן,840,265,286,277,12,7,4,3,2,1,120,70,50,29,21,"3,172","1,713","1,459",810,649,25.89,2.14,4.49,-,70.56,60.17,15.80,35.70,18.04,3.16,303,31.60,2.36,5.10,17.90,28.49,77.56,11.57,2.76
"2,730",טייבה,"2,295",699,769,779,48,17,13,8,4,4,395,214,181,94,87,"10,557","5,120","5,437","2,795","2,642",26.97,1.72,3.20,0.29,77.57,62.10,14.10,37.60,17.81,3.15,934,31.70,2.36,7,18.90,44.54,69.91,12.06,2.65
"2,720",טירה,"1,395",460,451,466,18,16,9,11,4,7,250,133,117,52,65,"5,589","2,744","2,845","1,317","1,528",25.43,0.45,0.54,0.35,63.99,50.29,17.30,30.10,18.13,3.15,583,32,2.74,5.40,19.70,40.65,80.79,10.17,3.17
"2,100",טירת כרמל,"1,361",464,427,413,57,9,6,6,3,3,138,85,53,27,26,"3,078","1,865","1,213",631,582,23.93,1.00,1.37,0.62,72.93,57.21,19.40,24.80,10.52,2.41,472,30.90,9.75,5.20,15,33.47,76.91,7.81,4.02
"8,900",טמרה,"1,818",590,607,597,24,21,12,14,5,9,352,177,175,76,99,"8,279","4,042","4,237","2,022","2,215",25.80,0.41,0.79,-,61.19,48.02,13.10,31.40,17.47,3.23,930,32.30,1.61,5.60,18,43.33,83.12,9.64,3.41
"1,295",יאנוח-ג'ת,337,126,101,107,3,5,3,2,1,1,59,32,27,14,13,"1,389",705,684,369,315,23.38,1.87,3.01,0.78,87.18,68.38,16.90,36.20,16.03,3.50,162,32.50,5.19,5.40,17.60,30.68,94.44,9.57,3.44
46,יבנאל,325,104,106,100,15,7,4,3,-,3,49,41,8,-,8,848,720,128,-,128,19.45,3.30,..,..,52.46,31.15,15.90,..,7.20,1.73,103,36.10,4.04,4.30,13,33.08,63.11,8.60,4.26
"2,660",יבנה,"3,525","1,128","1,190","1,083",124,27,19,12,5,7,351,233,118,59,59,"9,059","5,876","3,183","1,713","1,470",27.26,2.34,3.75,0.95,86.42,73.23,31.50,41.50,14.25,2.69,947,31.20,8.13,4.80,15.60,37.28,77.61,11.64,2.71
"9,400",יהוד-מונוסון,"1,520",464,500,491,65,12,7,6,3,3,220,111,109,42,67,"6,014","2,785","3,229","1,362","1,867",26.78,0.82,0.92,0.71,85.24,78.57,36.10,48.30,16.64,3.24,573,31.20,8.20,4.10,18.80,48.52,73.47,11.85,2.66
29,יסוד המעלה,78,23,21,31,3,1,1,-,-,-,6,6,-,-,-,118,118,-,-,-,19.67,-,-,-,..,..,45.90,..,14.26,4.85,..,..,..,..,..,..,..,..,..
499,יפיע,"1,035",330,327,362,16,13,8,6,2,4,169,93,76,34,42,"4,098","2,188","1,910",902,"1,008",26.07,1.18,1.96,0.38,75.16,59.87,12.80,36.20,17.04,3.28,442,30.90,4.99,6.10,16.80,36.31,76.24,10.05,3.12
240,יקנעם עילית,"1,272",393,433,400,46,8,6,3,2,1,154,90,64,34,30,"4,102","2,282","1,820",948,872,27.45,0.42,..,..,83.65,70.91,40.20,41.30,12.70,3.28,422,31.10,6.64,3.90,15.50,45.02,79.38,11.65,2.71
831,ירוחם,736,247,236,237,16,7,4,6,3,3,99,54,45,24,21,"2,216","1,227",989,511,478,24.26,1.14,1.26,1.00,71.63,56.74,23.40,27.30,11.81,3.54,265,30.80,6,3.80,14,27.14,87.92,8.44,3.68
"3,000",ירושלים,"58,789","17,609","19,310","19,077","2,793",736,436,453,87,366,"8,818","5,479","3,339",783,"2,556","211,489","131,764","79,725","18,740","60,985",26.34,2.67,3.09,2.24,37.91,32.23,16.80,20.10,10.88,2.69,"18,374",27.60,8.36,5.40,16.30,28.94,60.69,11.11,2.48
502,ירכא,866,298,267,289,12,14,9,9,2,7,188,104,84,32,52,"4,034","1,928","2,106",902,"1,204",25.55,0.17,..,..,87.50,53.38,12.80,25.70,15.79,3.06,540,30,7.78,6.90,14.50,47.59,84.26,8.08,3.74
504,כאבול,709,256,209,237,7,6,4,2,1,1,105,61,44,21,23,"2,672","1,411","1,261",631,630,24.21,0.20,0.42,-,80.60,60.07,16,31.50,18.29,3.38,260,33.10,0.39,7.30,20.10,36.32,80.77,11.15,3.03
505,כאוכב אבו אל-היג'א,235,67,88,74,6,2,1,2,1,1,40,17,23,12,11,"1,031",438,593,323,270,28.33,..,..,-,92.31,73.85,21.70,..,23.21,4.58,106,33.50,8.16,4.50,18.30,24.59,74.53,10.97,3.16
"1,224",כוכב יאיר,336,88,116,110,22,4,3,1,1,-,56,43,13,13,-,"1,518","1,104",414,414,-,26.12,0.52,..,..,92.49,90.75,65,57.60,17.85,5.65,122,30.70,2.52,3.70,20,18.50,77.87,13.95,2.22
"1,059",כסיפה,"1,423",416,478,481,48,11,8,7,3,4,282,161,121,57,64,"7,311","4,025","3,286","1,580","1,706",26.40,1.66,2.20,1.10,58.68,46.69,12.50,23.80,14,2.59,735,33.70,9.05,6.90,13.10,52.67,71.29,10.99,3.11
