סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
812,שלומי,350,100,109,117,24,3,2,2,1,1,49,26,23,14,9,"1,128",634,494,304,190,26.86,1.21,..,..,66.67,55.81,22.03,-,8.80,2.50,144,31.93,4.86,4.50,15.10,40.97,85.60,9.15,3.59
538,שעב,415,147,131,132,..,3,2,2,1,1,62,35,27,14,13,"1,456",804,652,332,320,23.79,0.55,1.11,-,87.41,60.74,13.39,29.10,15.10,2.60,159,33.16,0.63,3.20,20.94,62.26,75.30,10.42,3.26
"3,826",שער שומרון,347,177,173,179,18,2,2,-,-,-,44,44,-,-,-,"1,233","1,233",-,-,-,29.08,0.68,..,..,88.89,82.22,47.30,-,18.30,3.80,..,..,..,..,..,..,..,..,..
"8,800",שפרעם,"2,019",654,666,666,33,25,15,15,5,10,331,180,151,57,94,"8,252","4,581","3,671","1,430","2,241",26.68,1.15,1.83,0.46,79.49,54.86,13.24,30.70,15.40,2.90,822,31.85,2.55,3.40,18.78,56.08,79.40,10.55,3.04
"5,000",תל אביב -יפו,"17,751","5,438","5,988","5,709",616,179,114,103,37,66,"2,701","1,567","1,134",456,678,"63,455","36,052","27,403","12,445","14,958",26.05,1.46,1.62,1.30,79.62,72.65,48.17,47.40,21.40,4.70,"7,010",30.26,8.67,3.80,15.11,41.55,73.80,10.05,3.04
154,תל מונד,694,193,225,253,23,5,4,2,1,1,110,64,46,23,23,"3,219","1,690","1,529",797,732,26.98,0.62,0.77,0.47,91.28,88.93,57.07,58.50,17.40,4,296,30.76,6.42,3.20,18.80,49.66,68.40,12.52,2.47
"1,054",תל שבע,"1,933",619,666,634,14,12,9,9,4,5,274,163,111,54,57,"6,641","3,763","2,878","1,574","1,304",26.12,2.78,3.91,1.60,57.17,26.37,9.06,17.60,11.10,2.30,724,33.30,6.63,6.20,12.03,33.84,78.10,10.03,3.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
