סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,414,146,136,131,1,5,4,4,1,3,69,36,33,11,22,"1,228",627,601,255,346,23.68,0.82,..,..,69.37,52.25,16.64,39.90,19.30,3.60,150,29.49,9.33,5.40,15.17,45.33,67.30,10.43,2.94
473,אבו סנאן,721,235,256,219,11,7,4,6,3,3,104,54,50,26,24,"2,423","1,244","1,179",627,552,24.81,2.13,2.81,1.41,84.24,63.55,15.16,32.30,13.50,2.30,177,30.11,11.86,7.20,12.75,44.07,79.50,7.52,4.00
182,אבן יהודה,651,173,216,230,32,7,5,3,-,3,156,98,58,-,58,"4,317","2,716","1,601",-,"1,601",28.91,0.44,0.43,0.46,88.85,83.28,60.13,49.70,16.60,3.20,342,31.06,8.48,6.10,16.34,47.66,53.20,14,2.32
"2,710",אום אל-פחם,"3,482","1,083","1,188","1,165",46,31,19,22,8,14,565,292,273,114,159,"13,936","7,088","6,848","3,087","3,761",26.85,0.95,1.41,0.49,72.40,50.74,12.50,25.70,15.30,2.60,"1,464",31.96,2.87,7.20,18.58,44.95,67.60,10.37,3.12
"2,400",אור יהודה,"2,078",679,661,663,75,20,13,11,4,7,285,174,111,48,63,"6,277","3,810","2,467","1,128","1,339",24.51,0.62,0.70,0.53,83.92,67.84,19.46,33,12.60,2.40,695,30.43,10.94,4.80,15.03,36.40,55.70,11.00,2.80
"1,020",אור עקיבא,"1,172",374,384,376,38,11,6,8,3,5,182,94,88,39,49,"3,905","1,976","1,929","1,028",901,23.90,0.90,1.05,0.75,89.67,78.10,22.59,31.50,10.80,1.90,479,30.82,10.02,6.40,16.46,41.54,57.70,9.59,3.25
"3,760",אורנית,463,147,155,144,17,4,3,1,-,1,75,54,21,-,21,"2,097","1,414",683,-,683,26.02,0.99,1.12,0.86,92.31,89.01,54.89,53.50,16.70,3.70,185,31.72,10.81,5.40,14.71,54.59,66.30,13.51,2.40
565,אזור,689,197,232,243,17,4,3,1,1,-,50,38,12,12,-,"1,376","1,015",361,361,-,27.24,0.87,1.10,0.61,85.51,74.64,24.88,25.40,10.90,2.20,212,31.11,2.83,4.20,19.52,54.25,74.40,10.90,2.87
"2,600",אילת,"2,344",771,725,803,45,21,14,13,5,8,394,220,174,82,92,"9,052","4,998","4,054","2,099","1,955",25.46,1.59,1.91,1.24,76.90,65.20,13.98,25.30,6.60,2.10,"1,071",33.93,4.86,9.40,15.31,46.22,67.60,9.77,3.55
478,אכסאל,926,316,271,330,9,9,6,7,2,5,149,76,73,32,41,"3,416","1,706","1,710",828,882,26.69,1.01,1.46,0.56,81.82,55.80,17.28,23.60,18,3,290,31.20,1.38,8.20,20.14,59.31,83.40,9.41,3.37
