סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,402,118,144,138,..,5,4,4,1,3,68,36,32,11,21,"1,251",625,626,283,343,22.83,0.71,0.71,0.70,70.54,48.21,15.09,41.20,21.10,3.60,167,30.50,8.98,7.70,12.60,39.52,80.84,8.23,3.74
473,אבו סנאן,656,214,219,221,..,7,4,6,3,3,106,53,53,30,23,"2,422","1,216","1,206",667,539,24.91,1.35,1.80,0.90,81.25,55.36,13.54,25.80,12.10,2.50,302,31.20,4.64,2.50,19.10,43.05,83.11,8.93,3.52
182,אבן יהודה,671,192,252,202,25,7,5,4,1,3,149,89,60,15,45,"4,186","2,465","1,721",498,"1,223",27.40,0.66,0.48,0.83,90.04,81.67,58.51,47.20,13.30,3.10,338,30.80,5.33,8.20,17,45.86,71.01,13.71,2.26
"2,710",אום אל-פחם,"3,353","1,131","1,067","1,099",56,30,18,21,8,13,559,294,265,118,147,"13,997","7,138","6,859","3,185","3,674",26.72,0.75,1.05,0.44,67.32,47.95,9.68,25.80,12.80,2.40,"1,463",31.90,3.21,3.20,17.80,37.46,77.17,10.34,3.12
31,אופקים,"2,686",923,845,768,150,25,17,12,2,10,309,207,102,31,71,"6,877","4,524","2,353",752,"1,601",24.77,1.07,1.69,0.45,53.65,37.12,15.35,23.30,7.90,2,674,29.90,5.49,3.90,17.60,30.27,54.45,10.39,2.88
"2,400",אור יהודה,"1,957",614,628,662,53,17,11,10,3,7,239,146,93,33,60,"5,588","3,292","2,296",984,"1,312",24.89,0.86,1.42,0.28,80.84,63.22,15.06,34.30,12.70,2.40,614,29.50,9.12,3.80,16.40,35.02,62.87,10.70,2.79
"1,020",אור עקיבא,"1,104",364,361,345,34,11,6,8,3,5,172,90,82,37,45,"3,674","1,855","1,819",962,857,23.93,1.17,1.16,1.19,83.91,72.80,16.98,23.50,9.40,2.10,452,31.70,4.20,4,17.20,43.14,79.42,9.62,3.35
"3,760",אורנית,494,127,153,180,34,4,3,1,-,1,73,52,21,-,21,"2,043","1,389",654,-,654,26.67,0.87,0.51,1.26,90.59,88.82,51.66,52.60,17.70,3.90,184,32.10,6.52,4,14.40,47.83,79.35,13.26,12.29
565,אזור,711,255,200,236,20,4,3,1,1,-,47,36,11,11,-,"1,313",963,350,350,-,26.75,0.84,..,..,89.05,72.99,23.47,33.60,15.20,2.60,143,30.60,12.59,5.50,14.80,41.96,72.73,12.26,2.55
"2,600",אילת,"2,497",791,782,845,79,21,14,13,5,8,373,211,162,69,93,"8,748","4,825","3,923","1,880","2,043",25.01,1.35,1.24,1.48,79.22,69.81,12.10,22,8.70,2.50,"1,029",34.90,5.93,3.80,15.30,41.30,78.81,9.85,3.61
478,אכסאל,926,322,314,285,5,9,6,7,2,5,156,74,82,38,44,"3,498","1,690","1,808",871,937,27.09,0.91,1.32,0.45,69.38,54.06,15.08,24.40,14.50,2.90,348,31.70,4.60,1.90,17.20,45.40,80.75,10.81,2.95
41,אליכין,158,54,46,52,6,1,1,-,-,-,6,6,-,-,-,136,136,-,-,-,22.67,..,..,..,75.68,64.86,28.96,..,11,3.20,26,27.30,11.54,4.90,16.20,46.15,69.23,7.72,3.56
"1,309",אלעד,"4,474","1,348","1,382","1,377",367,80,44,41,2,39,734,539,195,12,183,"17,512","12,448","5,064",285,"4,779",24.81,1.87,2.40,1.36,31.06,20.60,11.83,18.10,6,1.40,"1,074",29.40,9.78,3,16,12.57,37.43,13.80,2.13
"3,750",אלפי מנשה,364,134,112,113,5,3,2,1,1,-,51,33,18,18,-,"1,408",918,490,490,-,28.38,..,..,..,92.22,82.63,38.50,35.80,14,2.90,128,30.20,7.03,3.30,15.90,40.63,77.34,12.53,1.67
"3,560",אלקנה,252,84,82,75,11,4,1,5,3,2,57,16,41,22,19,"1,585",452,"1,133",666,467,28.25,0.91,..,..,93.24,91.89,71.04,..,34.80,6.40,178,31.40,2.25,2.70,17.10,53.93,80.34,9.71,2.06
529,אעבלין,692,212,247,226,7,9,7,5,1,4,162,84,78,17,61,"4,005","2,201","1,804",419,"1,385",27.38,0.69,0.95,0.41,78.24,61.57,13.33,38.90,15.80,2.80,413,31.10,5.33,2.90,16.60,49.64,73.61,10.12,3.09
"3,650",אפרת,973,297,323,324,29,10,6,5,1,4,152,103,49,11,38,"3,289","2,207","1,082",231,851,24.71,0.20,..,..,89.88,87.85,53.10,61.50,22.50,5,469,29.40,7.46,4.70,16,45.84,73.13,7.88,14.70
"3,570",אריאל,935,254,327,305,49,8,6,3,1,2,132,90,42,20,22,"3,001","1,984","1,017",567,450,25.36,1.57,1.52,1.62,90.95,74.29,27.15,38.80,43.90,9.90,386,32.80,11.14,4.80,14.80,41.97,66.58,9.33,3.58
70,אשדוד,"12,694","3,907","4,119","4,085",583,134,88,75,19,56,"1,897","1,151",746,233,513,"45,388","27,067","18,321","6,377","11,944",26.67,0.77,1.07,0.45,60.32,50.93,17.10,33.30,11.50,2.20,"4,182",31.60,5.33,3.80,18.40,37.02,67.07,11.49,2.77
"7,100",אשקלון,"8,087","2,576","2,705","2,555",251,58,41,32,12,20,"1,000",587,413,172,241,"25,448","14,679","10,769","5,156","5,613",27.64,0.91,1.30,0.52,80.24,67.82,20.84,44.10,12.80,2.50,"2,838",32.10,7.15,4.20,16.20,36.26,73.71,10.36,3.15
"6,000",באקה אל-גרביה,"1,744",579,554,569,42,14,9,9,3,6,272,141,131,52,79,"7,055","3,581","3,474","1,523","1,951",27.52,0.44,0.49,0.38,79.85,59.85,14.56,28,19.20,3.30,714,31.60,3.78,2.60,17.20,48.32,79.83,10.57,3.01
"2,530",באר יעקב,"2,592",811,867,845,69,19,12,11,4,7,284,168,116,43,73,"7,602","4,554","3,048","1,323","1,725",28.36,0.86,1.34,0.37,75.16,61.78,35.91,26.30,8.20,1.80,774,30.60,7.49,3.60,13.70,34.50,71.83,11.38,2.88
"9,000",באר שבע,"10,162","3,189","3,346","3,356",271,85,58,48,17,31,"1,443",808,635,266,369,"34,110","18,424","15,686","7,171","8,515",25.75,1.07,1.43,0.69,82.70,63.78,23.21,36.60,17.40,3.80,"3,947",33,6.31,4,16.90,43.22,71.98,9.77,3.42
482,בועיינה-נוג'ידאת,631,191,220,212,8,6,4,5,3,2,108,56,52,25,27,"2,432","1,233","1,199",585,614,24.06,0.67,..,..,78.64,50.45,11.96,31.50,17.50,3.10,266,32.30,2.63,2.70,18.80,51.88,80.83,10.09,3.24
