סמל היישוב,שם יישוב,"ילדים בגנים של משרד החינוך סה""כ",ילדים בגנים של משרד החינוך גיל 3,ילדים בגנים של משרד החינוך גיל 4,ילדים בגנים של משרד החינוך גיל 5,ילדים בגנים של משרד החינוך גיל 6,"בתי ספר סה""כ",בתי ספר יסודיים,בתי ספר על-יסודיים,בתי ספר חטיבות ביניים,בתי ספר תיכוניים,"כיתות סה""כ",כיתות בבתי ספר יסודיים,כיתות בבתי ספר על-יסודיים,כיתות בחטיבות ביניים,כיתות בבתי ספר תיכוניים,"תלמידים סה""כ",תלמידים בבתי ספר יסודיים,תלמידים בבתי ספר על-יסודיים,תלמידים בחטיבות ביניים,תלמידים בבתי ספר תיכוניים,ממוצע תלמידים לכיתה בבתי ספר יסודיים,"אחוז תלמידים נושרים סה""כ",אחוז תלמידים נושרים בנים,אחוז תלמידים נושרים בנות,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,עובדי הוראה מספר עובדי הוראה,עובדי הוראה ממוצע שעות עבודה לשבוע,עובדי הוראה אחוז עובדי הוראה חדשים,עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
472,אבו גוש,371,125,136,106,4,5,4,4,1,3,71,38,33,11,22,"1,273",652,621,260,361,22.58,4.93,6.57,3.33,59.29,37.17,13.03,..,21.45,3.74,183,30.30,8.05,6.40,11.20,33.33,0.90,9.91,3.06
473,אבו סנאן,639,224,209,194,12,7,4,6,3,3,108,56,52,29,23,"2,506","1,289","1,217",625,592,25.52,1.79,2.89,0.71,65.81,52.56,12.09,28.50,11.60,2.32,293,31.20,4.90,6.60,18.20,32.08,0.80,10.11,3.12
182,אבן יהודה,706,163,228,280,35,7,5,4,1,3,141,78,63,21,42,"3,941","2,172","1,769",682,"1,087",28.36,0.84,0.74,0.94,83.96,76.89,55.59,46.10,12.65,3.03,318,30.10,7.33,6.30,15.70,44.03,0.74,10.52,2.90
"2,710",אום אל-פחם,"3,248","1,088","1,054","1,047",59,30,18,21,8,13,577,303,274,120,154,"14,369","7,360","7,009","3,171","3,838",26.75,1.09,1.71,0.48,59.40,44.16,8.52,23.30,11.82,2.11,"1,438",32,4.09,8,15.90,31.36,80.25,10.54,3.07
31,אופקים,"2,225",708,715,681,121,26,18,13,2,11,292,190,102,27,75,"6,148","3,972","2,176",625,"1,551",23.89,1.27,1.91,0.63,50.24,39.81,12.26,26.60,5.85,1.84,648,28,5.81,5.30,16.60,24.07,57.72,10.10,2.77
"2,400",אור יהודה,"1,920",680,607,567,66,17,11,10,3,7,235,144,91,34,57,"5,486","3,209","2,277","1,033","1,244",24.79,0.82,1.20,0.42,72.31,57.85,13.76,40.50,11.71,2.31,583,29.30,6.59,4.60,16,31.73,70.67,12.73,2.31
"1,020",אור עקיבא,"1,046",335,369,305,37,11,6,8,3,5,161,83,78,33,45,"3,322","1,708","1,614",782,832,23.38,0.84,1.23,0.43,82.74,69.03,14.65,27.20,9.34,1.97,431,30.50,6.20,6.80,16.20,43.16,82.37,8.39,3.68
"3,760",אורנית,541,169,195,148,29,4,3,1,-,1,71,51,20,-,20,"1,991","1,425",566,-,566,27.74,0.80,0.96,0.63,83.70,78.52,48.79,..,14.33,3.45,169,30.30,7.64,5.90,12.90,42.60,0.86,17.55,1.80
565,אזור,669,227,236,188,18,4,3,1,1,-,44,35,9,9,-,"1,220",921,299,299,-,26.31,0.96,..,..,76.67,70,21.82,36.10,13.05,2.29,120,31.30,11.97,5.60,14.30,38.33,0.83,21.16,1.51
"2,600",אילת,"2,769",854,907,909,99,21,14,13,5,8,370,205,165,71,94,"8,553","4,680","3,873","1,885","1,988",24.89,1.80,2.03,1.56,66.28,59.65,10.82,23.10,6.48,1.89,971,34.10,8.17,6.40,14.40,36.66,80.43,10.77,3.24
