analysis_group,bloc,rows,previous_current_correlation,mean_signed_change_pct_points,mean_absolute_change_pct_points,median_absolute_change_pct_points,pct_within_1_point,pct_within_2_points,pct_within_5_points
Arab/Non-Jewish,Right,303,0.7604292053678741,1.0493403852977023,4.094631199616442,1.5558230277856442,42.244224422442244,57.0957095709571,78.21782178217822
Arab/Non-Jewish,Center_Left,303,0.9279325392571234,-4.21681349040593,7.044497135257302,4.737868398837961,12.211221122112212,26.732673267326735,54.12541254125413
Arab/Non-Jewish,Haredi,303,0.5695460676586517,-0.37589997463194624,1.6980395767093803,0.4916126718731617,64.35643564356435,76.89768976897689,91.41914191419141
Arab/Non-Jewish,Arab,303,0.9448402461972579,3.5433730797401726,8.0854969175036,5.5610586921638765,6.9306930693069315,18.151815181518153,45.54455445544555
Non-Arab,Right,3335,0.9786965417240764,0.9286275468941763,4.373587242266202,3.527296251219809,14.06296851574213,27.796101949025488,68.12593703148426
Non-Arab,Center_Left,3335,0.9895198997944662,-1.3822969883941554,3.5513931199093007,2.7630023640661943,20.839580209895054,37.99100449775112,77.12143928035982
Non-Arab,Haredi,3335,0.9643083750622122,0.21216181542885307,1.4703500696561436,0.5361930294906166,64.52773613193403,79.91004497751123,93.82308845577212
Non-Arab,Arab,3335,0.9802094124428454,0.2415076260711257,0.7777453548247216,0.06136423859531681,89.05547226386807,94.60269865067467,96.91154422788605
