fold,train_rows,test_rows,train_localities,test_localities,locality_overlap,kept_features,removed_features
1,359,90,180,45,0,125,56
2,359,90,180,45,0,125,56
3,359,90,180,45,0,125,56
4,359,90,180,45,0,125,56
5,360,89,180,45,0,125,56
