model,feature_set,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae,mean_fold_mae,median_fold_mae,standard_deviation_fold_mae,worst_fold_mae,best_fold_mae,feature_set_role,eligible_for_temporal_selection,folds_won_vs_persistence,evaluated_folds,mean_fold_improvement_vs_persistence_pct
Persistence,none,6012,3.240424301628549,2.8029775929693046,2.252343628333877,6.753406751173818,62.60869565217391,5.015981307008856,4.2134152264259574,2.192492361885082,1.5398083111943028,3.2477548482871015,3.083027707491543,0.9691500476409283,4.826111484379194,2.1593751997991872,frozen_baseline,False,0,5,0.0
Ridge,history_only,6012,4.449997805444295,4.611979062173216,2.8733868590646163,10.633617578571815,72.51098903859831,6.423691721680821,6.732965562039975,2.4195585918007745,2.2237753462556107,4.463613860742852,3.4424773942603513,2.1801499414076817,8.236169333092414,3.028318693293147,baseline_model_feature_set,True,1,5,-37.4369085492092
Ridge,history_plus_locality_identity_diagnostic,6012,4.578362520478752,7.822109246833185,2.9805029682561077,11.108748189460002,66.11896045278411,6.762297717058382,6.630239345174525,2.885871575970003,2.035041443712098,4.589072898855158,4.3326117353725095,1.7989949289649365,7.561002213451439,3.0051375218263683,diagnostic_only,False,0,5,-41.29985523000547
Ridge,history_plus_dynamic_socio,6012,4.704124832720202,8.507456416968651,2.934309375810665,11.328180601530523,90.98225113231399,6.595575876693104,6.965998242707921,2.7659148778545934,2.4890103336251905,4.71498729646613,4.313132116954523,1.9356477577980222,7.975000547561403,3.1291742357959205,primary_challenger,True,0,5,-45.17682265805442
Ridge,history_plus_all_socio_sensitivity,6012,4.762633939688828,7.829463452159898,2.9877683987284898,11.537363019920635,75.30899320634228,6.776457080772909,6.993441529285304,2.995399148778342,2.285237999918757,4.772897269985999,4.671777496044524,1.8998526363506218,7.913747098861567,3.1582389975857175,identity_sensitivity,False,0,5,-46.95989977517156
Ridge,history_plus_nonidentity_levels_and_dynamic,6012,4.765228974182748,7.819372164746655,2.9885820622365555,11.570812617721757,75.31157780611863,6.768893623069707,7.0030723595047455,2.999832258194768,2.289117655961777,4.77546437385535,4.686797839023011,1.900123773155473,7.913312121134503,3.1557286688827935,secondary_challenger,True,0,5,-47.03894219029425
