transition_id,transition_order,model,feature_set,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae,persistence_mae,mae_difference_vs_persistence,improvement_vs_persistence_pct
K19_to_K20,3.0,Persistence,none,1183,4.826111484379194,4.086890158434607,3.522360245344293,10.341156118651183,60.474716202270386,7.915099473829864,4.731365221921791,5.058676908860608,1.5993043329045118,4.826111484379194,0.0,0.0
K19_to_K20,3.0,Ridge,history_plus_locality_identity_diagnostic,1183,7.561002213451439,7.57516944775784,6.637876707765874,14.264896537337913,64.99145881581626,13.136273362122084,12.69762758116054,2.465883501542763,1.94422440898037,4.826111484379194,2.7348907290722453,-56.66861898910418
K19_to_K20,3.0,Ridge,history_plus_nonidentity_levels_and_dynamic,1183,7.913312121134503,7.670727561208718,6.8916695328356825,15.055171620403112,70.88012420039253,13.255151825432364,13.20829747259504,2.560746432257093,2.6290527542535176,4.826111484379194,3.087200636755309,-63.96869709180435
K19_to_K20,3.0,Ridge,history_plus_all_socio_sensitivity,1183,7.913747098861567,7.674801432934405,6.891411540104012,15.055170234710209,70.88110573831503,13.256909746983057,13.207889565031516,2.561585692238868,2.628603391192829,4.826111484379194,3.087635614482373,-63.97771009799934
K19_to_K20,3.0,Ridge,history_plus_dynamic_socio,1183,7.975000547561403,7.847081806404023,6.998670397353252,14.937078412955216,69.68821550475401,13.409684239158574,13.171117904541198,2.6834871969238057,2.635712849622034,4.826111484379194,3.1488890631822093,-65.24691925112597
K19_to_K20,3.0,Ridge,history_only,1183,8.236169333092414,8.496673856852478,7.245532671916988,15.45212876201298,68.65599111967315,13.980213576025704,13.463127762219694,2.892673139419466,2.608662854704798,4.826111484379194,3.4100578487132207,-70.65849721355687
K20_to_K21,4.0,Ridge,history_only,1193,3.028318693293147,3.5897100143558953,2.183333872700361,5.856412630739137,51.5382277723871,4.121413943517902,4.460793011363962,2.0653687454123566,1.4656990728783696,3.1096101933845683,-0.08129150009142139,2.6142022644626697
K20_to_K21,4.0,Persistence,none,1193,3.1096101933845683,2.189704063458603,2.0427579065452823,6.136314059811335,59.16666666666666,4.168211628821944,4.82875180533175,1.4933338452746538,1.9481434941099252,3.1096101933845683,0.0,0.0
K20_to_K21,4.0,Ridge,history_plus_dynamic_socio,1193,3.1291742357959205,3.0259753421652436,2.1957803341703395,6.3348400093953146,51.171410087332504,4.513504021102682,4.686738833723405,1.8695062353764647,1.4469478529811308,3.1096101933845683,0.019564042411352123,-0.6291477450444741
K20_to_K21,4.0,Ridge,history_plus_nonidentity_levels_and_dynamic,1193,3.1557286688827935,3.416653614634718,2.253250804758985,6.100450987264068,51.463718128419146,4.58035991003509,4.709864196141551,1.882039668050041,1.4506509013044917,3.1096101933845683,0.04611847549822512,-1.4830950707692643
K20_to_K21,4.0,Ridge,history_plus_all_socio_sensitivity,1193,3.1582389975857175,3.4492698678111813,2.2522041902556955,6.091825239763661,51.46183788768336,4.584711002542412,4.712966598085494,1.8831139042754925,1.4521644854394706,3.1096101933845683,0.04862880420114912,-1.563823153931087
K20_to_K21,4.0,Ridge,history_plus_locality_identity_diagnostic,1193,3.3530974584505673,3.743499465566425,2.418447296296541,6.52759700904804,54.94114379784264,4.612358480136367,5.0125160813175,1.9603928957396841,1.827122376608718,3.1096101933845683,0.24348726506599894,-7.830153939680202
K21_to_K22,5.0,Persistence,none,1212,3.060649656381016,3.387945656200318,2.225334516467525,5.8136988194751025,62.60869565217391,4.6857078928830225,4.000129500685068,1.9517819053410048,1.6049793266149668,3.060649656381016,0.0,0.0
K21_to_K22,5.0,Ridge,history_plus_locality_identity_diagnostic,1212,4.3326117353725095,6.411167363654647,2.5462738231070716,10.942038903950928,64.0219958728334,5.631901661083419,4.75139527825403,3.9810066964214967,2.966143305731093,3.060649656381016,1.2719620789914936,-41.55856506933536
K21_to_K22,5.0,Ridge,history_only,1212,4.442402550474365,5.084067619920314,2.321351759114679,11.320820040990801,72.51098903859831,5.173945323858208,5.189103125711366,3.8135124583735456,3.5930492939543397,3.060649656381016,1.3817528940933492,-45.14573862488941
K21_to_K22,5.0,Ridge,history_plus_dynamic_socio,1212,4.739693376555407,6.335430491870146,2.4119202184346182,12.357922706736158,73.53582824091765,5.49026686279696,5.489915920476011,4.089835787421051,3.888754935527608,3.060649656381016,1.6790437201743913,-54.85906290103559
K21_to_K22,5.0,Ridge,history_plus_all_socio_sensitivity,1212,4.745949146202686,6.565898441911385,2.4617015796472823,12.309740164601887,75.30899320634228,5.664935658899957,5.424855017131132,4.086511932622344,3.8074939761573123,3.060649656381016,1.68529948982167,-55.06345642364071
K21_to_K22,5.0,Ridge,history_plus_nonidentity_levels_and_dynamic,1212,4.7473019562709196,6.5707237068696385,2.4618367745811502,12.292818069001095,75.31157780611863,5.66683465855223,5.426219724789234,4.087481889572315,3.808671552169901,3.060649656381016,1.6866522998899036,-55.107656519048994
K22_to_K23,6.0,Persistence,none,1213,2.1593751997991872,1.9849089232080788,1.6837280366692116,4.105917262874525,39.10308741747254,2.791765693750393,3.57238952261177,0.9847834503859826,1.288562132448603,2.1593751997991872,0.0,0.0
K22_to_K23,6.0,Ridge,history_plus_locality_identity_diagnostic,1213,3.0051375218263683,5.015947567117802,2.429570196834074,6.100865841035117,43.612284277047635,3.4907214614833775,5.09558303497062,1.8781098263438971,1.5561357645075773,2.1593751997991872,0.845762322027181,-39.16699247568618
K22_to_K23,6.0,Ridge,history_plus_nonidentity_levels_and_dynamic,1213,3.3741812839655196,4.710869894843014,2.4508128771711237,6.897229355318418,50.430886996538305,3.613357918495183,5.760230044703939,1.903914637685088,2.2192225349778694,2.1593751997991872,1.2148060841663324,-56.257295363923056
