strategy,rows,mae,median_row_mae,weighted_mae,macro_r2,maximum_prediction_sum_error
Ridge — globally shrunk correction,449,1.8392497928502622,1.1704204974893422,1.4858626706604716,0.9803158281011124,2.842170943040401e-14
Ridge — raw correction,449,1.8607400464210304,1.1455890935163227,1.5169786322743666,0.9791010635697635,2.842170943040401e-14
Hybrid — shrunk Ridge Non-Arab / persistence Arab,449,2.5798645518981274,1.5512209849999812,1.7281712471321318,0.9677661040511083,2.842170943040401e-14
Hybrid — Ridge Non-Arab / persistence Arab,449,2.5947130106470184,1.5266285460400648,1.7602088152995585,0.9669146140651353,2.842170943040401e-14
Previous-election persistence,449,3.2913352807839455,2.4922134614616294,2.727154861719438,0.9602527611960333,2.842170943040401e-14
