transition_id,transition_order,previous_election,current_election,previous_year,current_year,locality_rows,arab_majority_rows,persistence_mae,persistence_median_mae,persistence_p90_mae,maximum_single_bloc_change
K16_to_K17,0.0,16.0,17.0,2003.0,2006.0,1139,91,10.015246026646532,8.751780626780624,19.930325386452722,89.53488372093024
K17_to_K18,1.0,17.0,18.0,2006.0,2009.0,1140,98,5.521189389197532,4.968101730044192,10.040095214244278,62.16661672160623
K18_to_K19,2.0,18.0,19.0,2009.0,2013.0,1155,115,4.545545930524023,3.062068965517243,9.952604248347843,80.88888888888889
K19_to_K20,3.0,19.0,20.0,2013.0,2015.0,1183,113,4.826111484379194,3.5223602453442937,10.341156118651183,60.47471620227039
K20_to_K21,4.0,20.0,21.0,2015.0,2019.0,1193,123,3.1096101933845683,2.0427579065452823,6.136314059811335,59.16666666666666
K21_to_K22,5.0,21.0,22.0,2019.0,2019.0,1212,104,3.0606496563810155,2.225334516467525,5.8136988194751025,62.60869565217391
K22_to_K23,6.0,22.0,23.0,2019.0,2020.0,1213,121,2.1593751997991872,1.6837280366692116,4.105917262874526,39.10308741747254
K23_to_K24,7.0,23.0,24.0,2020.0,2021.0,1211,128,3.083027707491543,2.4311276994751907,5.514705882352942,55.530240265120135
