model,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae,mean_fold_mae,median_fold_mae,standard_deviation_fold_mae,worst_fold_mae,best_fold_mae
Persistence,6012.0,3.240424301628549,2.8029775929693046,2.252343628333877,6.753406751173818,62.60869565217391,5.015981307008856,4.2134152264259574,2.192492361885082,1.5398083111943028,3.2477548482871015,3.083027707491543,0.9691500476409283,4.826111484379194,2.1593751997991872
Expanding median CLR shift,6012.0,3.6295093438783987,3.5642246553697112,2.6362699412249953,7.229403310411298,62.85235248476707,5.6923827908766595,4.667594502687733,2.5861984327261203,1.5718616492230832,3.6377584122427122,3.441124103432916,0.9628832693530216,4.868484288159617,2.492140928259603
Expanding mean CLR shift,6012.0,3.991978693031818,4.090426027746318,2.7579544005088,8.54325265444,66.7925704762064,6.430286695830047,4.35699118647733,3.5263600387164047,1.6542768511034904,4.006392469204604,2.963627941527183,2.0737211076608335,7.645058967250924,2.795109623795456
Locality historical mean CLR shift,6012.0,6.154558700380684,3.4508294455604336,3.2214859540858733,14.24110662568514,99.99548384626358,7.293750207969076,7.916275781551604,5.306248143015923,4.1019606689861305,6.18401699108197,4.5257193382895045,3.785033044704038,12.89622956279234,3.819348403171775
Last-transition mean CLR shift,6012.0,6.574678930225385,8.493751585754913,4.0769772815633,15.96272209017124,85.69493063675733,8.7692543908619,6.543853070222147,8.478672452207299,2.5069358076102026,6.612788290348344,5.639763906159086,4.803165369006945,14.800091436751543,2.6590198459476992
