feature,source,2019,2020,2021,2022,2023,years_available,available_all_2019_2023,available_2022_and_2023
"demographic__צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",demographic,True,True,True,True,True,5,True,True
"demographic__ריבוי טבעי
סה""כ",demographic,True,True,True,True,True,5,True,True
"demographic__ריבוי טבעי  ל-1,000 תושבים",demographic,True,True,True,True,True,5,True,True
"demographic__שיעור פטירות מתוקנן ל-1,000 תושבים",demographic,True,True,True,True,True,5,True,True
"demographic__שיעור פטירות תינוקות ל-1,000 לידות חי",demographic,True,True,True,True,True,5,True,True
demographic__שיעור פריון כולל,demographic,True,True,True,True,True,5,True,True
education__אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,education,True,True,True,True,True,5,True,True
education__אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,education,True,True,True,True,True,5,True,True
education__אחוז תלמידים נושרים בנות,education,True,True,True,True,True,5,True,True
education__אחוז תלמידים נושרים בנים,education,True,True,True,True,True,5,True,True
"education__אחוז תלמידים נושרים סה""כ",education,True,True,True,True,True,5,True,True
education__בתי ספר חטיבות ביניים,education,True,True,True,True,True,5,True,True
education__בתי ספר יסודיים,education,True,True,True,True,True,5,True,True
"education__בתי ספר סה""כ",education,True,True,True,True,True,5,True,True
education__בתי ספר על-יסודיים,education,True,True,True,True,True,5,True,True
education__בתי ספר תיכוניים,education,True,True,True,True,True,5,True,True
education__השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,education,True,True,True,True,True,5,True,True
education__השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,education,True,True,True,True,True,5,True,True
education__השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,education,True,True,True,True,True,5,True,True
education__השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,education,True,True,True,True,True,5,True,True
education__ילדים בגנים של משרד החינוך גיל 3,education,True,True,True,True,True,5,True,True
education__ילדים בגנים של משרד החינוך גיל 4,education,True,True,True,True,True,5,True,True
education__ילדים בגנים של משרד החינוך גיל 5,education,True,True,True,True,True,5,True,True
education__ילדים בגנים של משרד החינוך גיל 6,education,True,True,True,True,True,5,True,True
"education__ילדים בגנים של משרד החינוך סה""כ",education,True,True,True,True,True,5,True,True
education__כיתות בבתי ספר יסודיים,education,True,True,True,True,True,5,True,True
education__כיתות בבתי ספר על-יסודיים,education,True,True,True,True,True,5,True,True
education__כיתות בבתי ספר תיכוניים,education,True,True,True,True,True,5,True,True
education__כיתות בחטיבות ביניים,education,True,True,True,True,True,5,True,True
"education__כיתות סה""כ",education,True,True,True,True,True,5,True,True
education__ממוצע תלמידים לכיתה בבתי ספר יסודיים,education,True,True,True,True,True,5,True,True
education__עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,education,True,True,True,True,True,5,True,True
education__עובדי הוראה אחוז עובדי הוראה חדשים,education,True,True,True,True,True,5,True,True
education__עובדי הוראה אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,education,True,True,True,True,True,5,True,True
education__עובדי הוראה אחוז שעות היעדרות מסך שעות עבודה שנתיות,education,True,True,True,True,True,5,True,True
education__עובדי הוראה ממוצע שנות ותק מוכרות בהוראה,education,True,True,True,True,True,5,True,True
education__עובדי הוראה ממוצע שעות עבודה לשבוע,education,True,True,True,True,True,5,True,True
education__עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,education,True,True,True,True,True,5,True,True
education__עובדי הוראה ממוצע תלמידים למורה,education,True,True,True,True,True,5,True,True
education__עובדי הוראה מספר עובדי הוראה,education,True,True,True,True,True,5,True,True
education__תלמידים בבתי ספר יסודיים,education,True,True,True,True,True,5,True,True
education__תלמידים בבתי ספר על-יסודיים,education,True,True,True,True,True,5,True,True
education__תלמידים בבתי ספר תיכוניים,education,True,True,True,True,True,5,True,True
education__תלמידים בחטיבות ביניים,education,True,True,True,True,True,5,True,True
"education__תלמידים סה""כ",education,True,True,True,True,True,5,True,True
income__אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,income,True,False,False,False,False,1,False,False
income__אחוז השכירים המשתכרים עד שכר מינימום,income,True,False,False,False,False,1,False,False
income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,income,True,False,False,False,False,1,False,False
income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,income,True,False,False,False,False,1,False,False
income__אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,income,True,False,False,False,False,1,False,False
income__אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,income,True,False,False,False,False,1,False,False
