feature_set,target_bloc,feature,folds_present,mean_effective_coefficient,mean_absolute_effective_coefficient,coefficient_standard_deviation,positive_fold_share
history_only,Arab,history__previous_clr_arab,5,-0.3276493755310839,0.3276493755310839,0.007101897972366922,0.0
history_only,Arab,history__previous_clr_center_left,5,0.29750433064697723,0.29750433064697723,0.020031708423306472,1.0
history_only,Arab,history__previous_clr_haredi,5,0.21207609260415472,0.21207609260415472,0.006546426963372863,1.0
history_only,Arab,history__log1p_previous_valid_votes,5,0.16652415082600563,0.16652415082600566,0.005039477922284348,1.0
history_only,Arab,history__previous_turnout_pct,5,-0.13883218277643208,0.1388321827764321,0.03079496652965057,0.0
history_only,Arab,missing__history__previous_turnout_pct,5,0.056847003949357745,0.056847003949357745,0.019541404703696048,1.0
history_only,Arab,history__year_gap,5,-0.006652360011732676,0.03273866429351942,0.038827883718844845,0.4
history_only,Arab,history__previous_clr_right,5,0.030402763774284136,0.031481177939558125,0.022946068404323304,0.8
history_only,Arab,history__previous_modeled_vote_coverage_pct,5,-0.021690599208914276,0.021690599208914276,0.011952307912359147,0.0
history_only,Arab,history__previous_other_raw_pct,5,0.021690599208914245,0.021690599208914245,0.011952307912359135,1.0
history_only,Center_Left,history__previous_clr_center_left,5,-0.25730267751189445,0.25730267751189445,0.0057026853056497346,0.0
history_only,Center_Left,history__log1p_previous_valid_votes,5,-0.10227933761510803,0.10227933761510802,0.014751439846601497,0.0
history_only,Center_Left,history__previous_clr_arab,5,0.0828399190977886,0.08283991909778858,0.006346118361751765,1.0
history_only,Center_Left,missing__history__previous_turnout_pct,5,-0.07793306388958626,0.07793306388958628,0.01329772226096058,0.0
history_only,Center_Left,history__year_gap,5,-0.070900212222438,0.070900212222438,0.053679700455839106,0.0
history_only,Center_Left,history__previous_clr_haredi,5,0.06283050557357459,0.0628305055735746,0.008418316761680632,1.0
history_only,Center_Left,history__previous_turnout_pct,5,0.04418782182303087,0.04418782182303087,0.014025403517708387,1.0
history_only,Center_Left,history__previous_other_raw_pct,5,0.01525017390755683,0.01525017390755683,0.004331007620140193,1.0
history_only,Center_Left,history__previous_modeled_vote_coverage_pct,5,-0.01525017390755681,0.015250173907556813,0.00433100762014012,0.0
history_only,Center_Left,history__previous_clr_right,5,-0.010810371988794814,0.010810371988794814,0.005725506676508574,0.0
history_only,Haredi,history__previous_clr_haredi,5,-0.39694966286080186,0.39694966286080174,0.014626640955478946,0.0
history_only,Haredi,history__previous_clr_right,5,0.25064840441285535,0.25064840441285535,0.023974151354216294,1.0
history_only,Haredi,history__previous_clr_arab,5,0.1909515453933957,0.1909515453933957,0.013552760744930392,1.0
history_only,Haredi,history__year_gap,5,0.105814868006552,0.105814868006552,0.057473766924549204,1.0
history_only,Haredi,history__previous_modeled_vote_coverage_pct,5,0.03851938867525679,0.0385193886752568,0.013334774692004916,1.0
history_only,Haredi,history__previous_other_raw_pct,5,-0.0385193886752567,0.038519388675256706,0.013334774692004869,0.0
history_only,Haredi,history__log1p_previous_valid_votes,5,0.0201562514533507,0.028996803278408746,0.02510856425977102,0.8
history_only,Haredi,history__previous_clr_center_left,5,-0.015431277851126846,0.024648343482555894,0.026863615585936515,0.2
history_only,Haredi,missing__history__previous_turnout_pct,5,-0.004906322133569814,0.014518244265534896,0.020859115399265393,0.4
history_only,Haredi,history__previous_turnout_pct,5,0.0036001412700424327,0.009040474716081635,0.012105077194560271,0.6
history_only,Right,history__previous_clr_right,5,-0.2702407961983446,0.2702407961983446,0.011216099081078033,0.0
history_only,Right,history__previous_clr_haredi,5,0.12204306468307255,0.12204306468307255,0.005977082675616555,1.0
history_only,Right,history__previous_turnout_pct,5,0.09104421968335878,0.09104421968335878,0.013487786180197761,1.0
history_only,Right,history__log1p_previous_valid_votes,5,-0.08440106466424832,0.08440106466424832,0.01400664136071589,0.0
history_only,Right,history__previous_clr_arab,5,0.053857911039899765,0.053857911039899765,0.005271302619049062,1.0
history_only,Right,history__year_gap,5,-0.028262295772381256,0.05043389165956356,0.06090497308904914,0.2
history_only,Right,missing__history__previous_turnout_pct,5,0.025992382073798382,0.02724872757572617,0.04336424576022384,0.8
history_only,Right,history__previous_clr_center_left,5,-0.02477037528395586,0.02477037528395586,0.005801643319650637,0.0
history_only,Right,history__previous_other_raw_pct,5,0.0015786155587856452,0.0026193311918461136,0.0025993019893368772,0.8
history_only,Right,history__previous_modeled_vote_coverage_pct,5,-0.0015786155587856274,0.002619331191846085,0.002599301989336831,0.2
history_plus_all_socio_sensitivity,Arab,history__previous_clr_arab,5,-0.34210598136796416,0.34210598136796416,0.00800316014152887,0.0
history_plus_all_socio_sensitivity,Arab,history__previous_clr_center_left,5,0.30762928898385444,0.3076292889838544,0.018553852228144967,1.0
history_plus_all_socio_sensitivity,Arab,history__previous_clr_haredi,5,0.2133567801130248,0.2133567801130248,0.006749130757372926,1.0
history_plus_all_socio_sensitivity,Arab,history__log1p_previous_valid_votes,5,0.15797228422500725,0.15797228422500725,0.02035357057110741,1.0
history_plus_all_socio_sensitivity,Arab,history__previous_turnout_pct,5,-0.1266436317063598,0.12664363170635978,0.032611148981594125,0.0
history_plus_all_socio_sensitivity,Arab,missing__history__previous_turnout_pct,5,0.05505173071330308,0.05505173071330308,0.016212416123060198,1.0
history_plus_all_socio_sensitivity,Arab,history__previous_clr_right,5,0.0471171030530851,0.0471171030530851,0.023258551270195025,1.0
history_plus_all_socio_sensitivity,Arab,history__year_gap,5,-0.0016754046952675724,0.032583921657640944,0.03868578346910407,0.4
history_plus_all_socio_sensitivity,Arab,missing__demographic__snapshot_interval_years,5,-0.03108760958967171,0.031087609589671706,0.00650681856687912,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__דמי_אבטלה_ממוצעים_ליום_ש_ח__level,5,0.028419004256095858,0.028419004256095858,0.006724075420373505,1.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__snapshot_age_years,5,-0.027461692729029603,0.027461692729029607,0.0060335932697852855,0.0
history_plus_all_socio_sensitivity,Arab,demographic__snapshot_interval_years,4,0.02694756182236265,0.02694756182236265,0.00708492438262063,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_מכבי__level,5,-0.025574438006508632,0.025574438006508632,0.0018726372836590246,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__גיל_ממוצע_של_מקבלי_דמי_אבטלה_לא_כולל_חיילים__level,5,-0.025569906832178947,0.02556990683217895,0.003327929484583707,0.0
history_plus_all_socio_sensitivity,Arab,history__previous_modeled_vote_coverage_pct,5,-0.024894332490317816,0.024894332490317816,0.012235528130606724,0.0
history_plus_all_socio_sensitivity,Arab,history__previous_other_raw_pct,5,0.024894332490317733,0.024894332490317733,0.012235528130606714,1.0
history_plus_all_socio_sensitivity,Arab,income__מדד_אי_השוויון_שכירים_מדד_ג_יני_0_שוויון_מלא__level,5,-0.02190522350844714,0.021905223508447137,0.0029091709014168847,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__גיל_ממוצע_של_מקבלי_דמי_אבטלה_לא_כולל_חיילים__annualized_change,5,0.02112481500115438,0.02112481500115438,0.0034720166166010476,1.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_17_0__level,1,0.020109936167116125,0.020109936167116125,,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__אחוז_מקבלי_השלמת_הכנסה_מבין_מקבלי_קצבאות_זקנה_ושאירים_סוף_שנה__level,5,0.018248489626652303,0.018248489626652303,0.0028256047150995688,1.0
history_plus_all_socio_sensitivity,Arab,income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_נשים__annualized_change,5,0.017621820074350703,0.017621820074350703,0.0035537411330880133,1.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2015__level,3,0.016846357646232903,0.016846357646232903,0.005628433089276486,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_כללית__level,5,0.016809625971134348,0.016809625971134348,0.001967204499789857,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_סה_כ__level,5,-0.015933447196890282,0.015933447196890282,0.004355918405129511,0.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__פטירות_תינוקות_ממוצע__level,1,0.014895534569982544,0.014895534569982544,,1.0
history_plus_all_socio_sensitivity,Arab,education__השכלה_גבוהה_אחוז_סטודנטים_מתוך_כלל_האוכלוסייה__level,1,0.014819293013483248,0.014819293013483248,,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_בני_64_60_באוכלוסייה_בסוף_2015__level,3,-0.014748944525449692,0.014748944525449692,0.006103029757528645,0.0
