feature,training_missing_pct,feature_role,source
"previous_feature__income__מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא",81.53338829348722,previous_feature,income
previous_feature__income__מספר העצמאים,81.53338829348722,previous_feature,income
previous_feature__income__מספר השכירים,81.53338829348722,previous_feature,income
"previous_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) גברים",81.53338829348722,previous_feature,income
"previous_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",81.53338829348722,previous_feature,income
"previous_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) נשים",81.53338829348722,previous_feature,income
previous_feature__income_standard__avg_monthly_wage_men,81.53338829348722,previous_feature,
previous_feature__income_standard__avg_monthly_wage_total,81.53338829348722,previous_feature,
previous_feature__income_standard__avg_monthly_wage_women,81.53338829348722,previous_feature,
previous_feature__income_standard__gender_wage_ratio,81.53338829348722,previous_feature,
previous_feature__income_standard__gini_wage,81.53338829348722,previous_feature,
previous_feature__income_standard__gini_wage_2019_static,81.53338829348722,previous_feature,
previous_feature__income_standard__income_earner_count,81.53338829348722,previous_feature,
previous_feature__income_standard__pct_below_minimum_wage,81.53338829348722,previous_feature,
previous_feature__income_standard__pct_below_minimum_wage_direct,81.53338829348722,previous_feature,
"previous_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי",81.53338829348722,previous_feature,welfare
previous_feature__welfare__אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה,81.53338829348722,previous_feature,welfare
"previous_feature__welfare__גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__דמי אבטלה ממוצעים ליום
(ש""ח",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__ימי זכאות לדמי אבטלה
(ממוצע שנתי",81.53338829348722,previous_feature,welfare
previous_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,81.53338829348722,previous_feature,welfare
