transition_id,subgroup,bloc,rows,mean_delta_pct,median_delta_pct,mean_absolute_delta_pct,standard_deviation_pct,minimum_delta_pct,maximum_delta_pct
K16_to_K17,Arab-majority,Arab,91,-0.12367341443738278,0.2409972638043314,7.055320960937043,10.586037390957474,-45.938976057332106,31.84905660377359
K16_to_K17,Arab-majority,Center_Left,91,3.925498721767323,1.891984958884862,6.970107729092861,9.724851154167515,-22.87671232876712,40.85998154080026
K16_to_K17,Arab-majority,Haredi,91,-1.627140598942734,-0.7991252840156775,2.949189342887848,4.669087081350508,-24.0,8.838041641424606
K16_to_K17,Arab-majority,Right,91,-2.174684708387207,-1.081190031097447,2.7694336083859974,3.8391345332005518,-14.381022979985174,8.735688691821167
K16_to_K17,Non-Arab-majority,Arab,1048,0.2186451311078834,0.0,0.6618621910089154,2.6847637107437285,-17.19088798755134,43.87411828540423
K16_to_K17,Non-Arab-majority,Center_Left,1048,18.781545305297847,17.276841509578865,19.04339306547372,13.855221141749476,-21.072567783094108,68.9944211994421
K16_to_K17,Non-Arab-majority,Haredi,1048,0.6946011701619133,0.20920289115069574,2.2639873498183376,4.392182030221004,-22.68041237113402,42.5531914893617
K16_to_K17,Non-Arab-majority,Right,1048,-19.69479160656764,-17.504745414228164,19.855902620839263,14.54160701208036,-89.53488372093024,12.304815334268357
K17_to_K18,Arab-majority,Arab,98,12.477791225429415,11.314732021339402,13.620624628064784,10.591336203680743,-20.28985507246378,46.426051013206965
K17_to_K18,Arab-majority,Center_Left,98,-13.275752546281788,-11.258524488009073,13.684901486482698,9.537004481902327,-39.62228870605834,12.183544303797468
K17_to_K18,Arab-majority,Haredi,98,0.2012728157598519,0.0,2.042712137220529,4.225861163889736,-8.615389936318397,26.41509433962264
K17_to_K18,Arab-majority,Right,98,0.5966885050925194,-0.001778583483415,1.798709480397957,3.5877609651370697,-9.418282548476457,20.40816326530612
K17_to_K18,Non-Arab-majority,Arab,1042,0.6766804138236124,0.0,0.9970213819702635,4.670362200894622,-17.312101910828027,50.77756892230577
K17_to_K18,Non-Arab-majority,Center_Left,1042,-8.564660629212584,-7.885473616104905,8.801932782921613,7.537841122554614,-62.16661672160623,20.0
K17_to_K18,Non-Arab-majority,Haredi,1042,-1.0549017389747424,-0.3446557059958727,2.2415034440320025,3.8255309329282334,-20.0,25.221294550677804
K17_to_K18,Non-Arab-majority,Right,1042,8.942881954363713,8.12166026558461,9.192001831564104,7.064205343876105,-12.86486486486487,58.9751273599041
K18_to_K19,Arab-majority,Arab,115,-8.272064264027547,-6.138492500249171,11.066019235724315,13.388148762972687,-58.76386843397153,21.25177809388337
K18_to_K19,Arab-majority,Center_Left,115,2.6859491805625058,0.728290495589226,7.998814351712054,12.285883786507773,-31.193693693693696,58.53951890034365
K18_to_K19,Arab-majority,Haredi,115,4.369470103482439,1.948051948051948,5.994113397488396,9.883763052958644,-24.58023195430154,50.56179775280899
K18_to_K19,Arab-majority,Right,115,1.2166449799826033,0.3382594417077176,2.3727447807275923,4.864059542563752,-16.666666666666664,33.38206627680313
K18_to_K19,Non-Arab-majority,Arab,1040,0.0032358159284899173,0.0,0.5117459005298415,1.5356944823330527,-16.34842308517486,28.29332248831835
K18_to_K19,Non-Arab-majority,Center_Left,1040,-6.68611307601662,-4.476353515238327,7.383082592562902,8.777531271145795,-60.37414965986395,21.77033492822968
K18_to_K19,Non-Arab-majority,Haredi,1040,1.592421309551771,1.3634050830234976,2.7955118949341595,4.3433307304507185,-50.12175324675325,37.30158730158729
K18_to_K19,Non-Arab-majority,Right,1040,5.0904559505363585,3.1589164560505654,6.469061194637483,8.759330461062477,-29.365079365079367,80.88888888888889
K19_to_K20,Arab-majority,Arab,113,6.515107856505577,5.2487235955427,8.771624810604818,9.700039403727933,-14.956771724617788,32.27516715321594
K19_to_K20,Arab-majority,Center_Left,113,-1.6885462025843314,-0.9646584232219592,6.1936118314589645,8.376787906606763,-26.84132813645555,19.901139050075223
K19_to_K20,Arab-majority,Haredi,113,-4.362580395747803,-2.0591387632549125,4.812323670864128,6.964496878339107,-37.51493428912784,5.320753474280445
K19_to_K20,Arab-majority,Right,113,-0.46398125817344293,-0.1445311122988635,1.9335260344514174,3.189270818603267,-12.283934296195929,10.860918222881413
