Analysis_Group,Number_of_Rows,Number_of_Localities,Mean_MAE,Median_MAE,Maximum_MAE
Druze Majority,15,15,10.704357507333457,8.761197419650566,21.691394323683873
Moshavim,13,13,10.627234499383507,7.050974732817636,27.296849626369696
Arab/Non-Jewish — Non-Druze,66,66,4.3580750914759285,3.8821622477050086,19.67782399369151
Cities,120,120,2.800405270446718,2.31434418688035,12.12444644688809
Other,5,5,2.451056354256989,2.705260513003084,4.383939435385723
Kibbutzim,7,7,2.3045792186336027,2.6690342929990574,4.620164946813898
