Analysis_Group,Number_of_Rows,Number_of_Localities,MAE_Right_pct,MAE_Center_Left_pct,MAE_Haredi_pct,MAE_Arab_pct
Druze Majority,15,15,18.63447837791232,15.299188522458017,2.0034853787296583,6.88027775023383
Moshavim,13,13,15.188429764026996,18.100133883871578,8.977397269733673,0.242977079901775
Cities,120,120,4.540389890483278,3.659771537587378,2.4438560686332638,0.5576035850829532
Arab/Non-Jewish — Non-Druze,66,66,4.332598888240001,5.081597511550006,0.5491479756899221,7.468955990423788
Kibbutzim,7,7,3.8292084883104445,4.369989878127504,0.40492014951296323,0.6141983585834992
Other,5,5,3.448111276069519,3.9518636360725288,1.9268019545732877,0.4774485503126214
