Model,Overall_MAE,Overall_R2
Segmented CLR,4.6351476963855704,0.8989992453985686
Segmented CLR + Druze Indicator,4.6445621554353975,0.8968407932696952
XGBoost + Locality Types — Post-hoc Normalized,4.899772719045277,0.9040522714563732
CLR XGBoost — Demographic + Locality Types,4.974796697390204,0.8823505220452221
XGBoost — Demographic + Locality Types,5.114791688576863,0.887691904892383
XGBoost — Demographic,5.383725198127226,0.8688743416853612
Random Forest — Demographic,5.468068183839866,0.8673203878747232
MLP (CLR) — Neural Baseline,6.662672496749774,0.8117930547950569
Linear Regression — Demographic,11.747429302152103,0.5285182686282023
