Model,Overall_MAE,Overall_R2
Hybrid XGBoost + Types + Lag,3.888087725656791,0.9429934626942232
Hybrid CLR XGBoost + Lag,4.096692848980096,0.930759866589006
Hybrid Segmented CLR + Lag,4.266897376255411,0.9236154082152446
Lag-only CLR XGBoost,4.431177920547344,0.9269878772120816
