סמל היישוב,שם יישוב,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים","שכר ממוצע לחודש של שכירים (ש""ח) גברים","שכר ממוצע לחודש של שכירים (ש""ח) נשים",אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
"6,300",גבעתיים,"14,052.98","16,970.19","11,393.29",3.34,2.99,3.50,"28,542",27.10,"3,601","13,301.28",0.28,33.70,0.44
35,גדות,"12,623.77","15,796.58","9,429.25",-0.18,-0.05,-1.04,"3,813",31.80,347,"12,134.39",3.99,33.10,0.43
"1,292",ג'דיידה-מכר,"6,258.65","7,457.14","4,823.56",2.52,2.01,3.60,"9,662",54.40,731,"9,194.24",-1.60,37.20,0.37
"2,550",גדרה,"11,726.32","14,394.54","9,233.68",1.04,0.42,1.76,"12,168",33.60,"1,070","11,496.27",-1.21,34.60,0.43
485,ג'ולס,"8,365.49","11,283.92","4,765.15",0.36,1.71,0.46,"3,212",46.50,197,"6,014.90",1.51,59.90,0.40
627,ג'לג'וליה,"5,829.96","6,571.49","4,957.02",2.46,2.00,3.75,"4,300",55.70,383,"8,300.37",5.77,41,0.34
166,גן יבנה,"11,358.82","14,179.15","8,661.79",0.58,0.58,0.61,"11,992",34.50,"1,002","11,066.32",-1.77,35.60,0.42
72,גן שמואל,"10,332.01","12,807.05","7,928.27",2.14,1.96,2.48,"18,064",36.10,"1,533","10,690.12",2.88,34.30,0.41
229,גני תקווה,"14,415.26","17,587.01","11,574.55",3.16,2.76,3.60,"8,754",29.60,"1,052","14,689.08",-5.02,34.40,0.46
541,ג'סר א-זרקא,"5,766.84","6,714.22","4,762.58",2.15,-0.58,6.41,"7,136",49.90,132,"8,671.52",15.10,44.70,0.28
39,גפן,"9,724.01","11,786.32","7,723.93",2.48,2.17,2.69,"4,700",36.80,458,"11,138.29",-6.22,36,0.40
487,ג'ש (גוש חלב),"8,899.89","10,326.14","7,501.86",0.54,2.22,-1.37,"1,501",37.20,221,"10,272.32",-9.33,38.50,0.38
