סמל היישוב,שם יישוב,כלל בעלי הכנסה מספר,כלל בעלי הכנסה שכר ממוצע,גברים מספר בעלי הכנסה,גברים שכר ממוצע,נשים מספר בעלי הכנסה,נשים שכר ממוצע,בעלי הכנסה משכר מספר,בעלי הכנסה משכר שכר ממוצע,בעלי הכנסה עסקית מספר,בעלי הכנסה עסקית שכר ממוצע,בעלי הכנסה משכר ועסקית מספר,בעלי הכנסה משכר ועסקית שכר ממוצע,שכירים השתכרים מתחת לשכר המינימום מספר
472,אבו גוש,"3,731","8,651.88","2,132","9,841.25","1,599","7,066.05","3,528","8,399.47",134,"10,992.85",69,"17,011.37","1,233"
473,אבו סנאן,"6,591","8,371.76","3,659","10,040.26","2,932","6,289.55","5,800","7,956.93",526,"8,960.48",265,"16,282.51","2,397"
182,אבן יהודה,"7,499","18,465.23","3,686","24,188.07","3,813","12,932.99","6,279","18,698.42",662,"14,289.62",558,"20,795.01","1,877"
"2,710",אום אל-פחם,"25,005","7,360.71","14,950","8,690.41","10,055","5,383.67","22,461","7,054.56","1,735","8,596.66",809,"13,210.00","11,122"
31,אופקים,"4,258","11,315.65","2,031","14,221.86","2,227","8,665.21","3,687","10,933.01",269,"12,273.58",302,"15,133.79","1,489"
"2,400",אור יהודה,"19,165","9,888.72","9,523","11,496.62","9,642","8,300.68","16,994","9,686.65","1,434","10,156.57",737,"14,027.07","5,342"
"1,020",אור עקיבא,"10,606","9,831.06","5,133","11,721.52","5,473","8,058.04","9,544","9,704.85",630,"9,586.63",432,"12,975.87","2,924"
"3,760",אורנית,"5,194","16,297.84","2,607","19,881.29","2,587","12,686.67","4,415","16,049.69",439,"14,224.04",340,"22,197.69","1,232"
565,אזור,"6,764","11,692.12","3,356","13,441.45","3,408","9,969.49","5,859","11,494.44",567,"11,982.05",338,"14,632.42","1,591"
"2,600",אילת,"35,268","10,235.84","18,355","11,628.17","16,913","8,724.80","31,293","9,914.52","2,110","11,708.96","1,865","13,960.77","8,802"
37,איתן,"4,473","12,912.89","2,241","15,756.20","2,232","10,058.12","4,060","12,804.77",164,"11,912.12",249,"15,335.07","1,186"
478,אכסאל,"6,894","8,572.46","4,058","10,458.16","2,836","5,874.24","5,993","8,070.41",648,"10,555.12",253,"15,386.93","2,649"
41,אליכין,"5,322","14,113.78","2,544","17,190.92","2,778","11,295.83","4,814","13,833.02",205,"13,884.85",303,"18,729.19","1,446"
"1,309",אלעד,"17,680","7,407.13","7,502","8,454.88","10,178","6,634.85","15,861","7,178.33","1,016","7,772.14",803,"11,464.55","7,828"
"3,750",אלפי מנשה,"4,662","14,129.95","2,314","17,178.91","2,348","11,125.13","3,979","14,117.37",348,"12,311.20",335,"16,168.61","1,091"
"3,560",אלקנה,"2,055","13,700.27",993,"17,086.66","1,062","10,533.90","1,812","13,299.90",100,"14,010.51",143,"18,556.58",647
529,אעבלין,"6,492","8,025.31","3,542","9,592.67","2,950","6,143.43","5,849","7,825.11",394,"7,474.82",249,"13,599.16","2,444"
"3,650",אפרת,"6,040","12,815.54","3,013","15,911.68","3,027","9,733.71","5,271","12,517.88",322,"13,109.96",447,"16,113.43","1,915"
"3,570",אריאל,"10,575","10,774.73","5,239","12,908.23","5,336","8,680.00","9,636","10,680.87",469,"10,249.32",470,"13,223.34","2,632"
71,אשבול,"9,919","10,396.68","4,884","12,404.86","5,035","8,448.73","7,864","10,052.71",983,"10,569.50","1,072","12,761.52","2,952"
70,אשדוד,"111,951","10,153.91","53,859","12,357.21","58,092","8,111.16","102,018","10,012.81","5,808","9,878.67","4,125","14,031.20","35,084"
"7,100",אשקלון,"74,537","9,946.35","36,374","12,101.75","38,163","7,891.94","68,107","9,734.79","3,781","10,397.56","2,649","14,741.47","23,317"
"6,000",באקה אל-גרביה,"14,377","8,347.16","8,176","10,014.46","6,201","6,148.82","13,091","8,197.95",830,"8,157.32",456,"12,976.07","5,118"
"2,530",באר יעקב,"14,001","14,110.55","6,806","17,271.49","7,195","11,120.50","12,365","13,900.28",972,"13,630.78",664,"18,728.47","2,689"
"9,000",באר שבע,"104,014","10,296.08","50,348","12,338.08","53,666","8,380.33","96,568","10,115.73","4,059","9,959.89","3,387","15,841.00","33,042"
482,בועיינה-נוג'ידאת,"4,863","7,464.04","2,827","8,863.12","2,036","5,521.40","4,502","7,157.09",207,"8,573.13",154,"14,946.41","2,211"
"4,001",בוקעאתא,"3,202","7,390.78","1,895","9,293.99","1,307","4,631.35","2,683","7,065.64",322,"7,503.77",197,"11,634.37","1,367"
998,ביר אל-מכסור,"4,337","7,551.28","2,558","9,334.96","1,779","4,986.56","4,076","7,458.65",188,"8,502.70",73,"10,272.81","1,801"
"3,574",בית אל,"3,012","8,082.31","1,480","9,449.06","1,532","6,761.95","2,687","7,793.20",113,"8,228.66",212,"11,668.62","1,325"
"3,652",בית אריה-עופרים,"3,015","12,791.28","1,502","15,244.32","1,513","10,356.08","2,641","12,677.83",216,"11,278.40",158,"16,755.78",706
480,בית ג'ן,"6,055","8,018.88","3,065","10,551.46","2,990","5,422.78","5,454","7,978.12",354,"6,347.43",247,"11,314.60","2,663"
466,בית דגן,"3,872","11,907.64","1,911","13,963.37","1,961","9,904.33","3,386","11,799.04",300,"11,084.04",186,"15,212.96","1,011"
16,בית ניר,"21,165","15,114.17","10,508","18,889.62","10,657","11,391.50","17,442","15,072.56","1,996","12,686.23","1,727","18,340.52","5,523"
"9,200",בית שאן,"10,520","8,709.01","5,345","10,245.83","5,175","7,122.01","9,624","8,494.62",498,"10,104.96",398,"12,146.13","3,427"
"2,610",בית שמש,"45,995","8,398.00","20,572","10,334.33","25,423","6,831.15","40,889","8,233.63","3,092","8,049.35","2,014","12,270.53","18,258"
"3,780",ביתר עילית,"20,298","6,550.44","8,392","7,564.23","11,906","5,835.86","18,270","6,336.59","1,171","7,216.92",857,"10,198.55","9,650"
"6,100",בני ברק,"68,028","7,597.89","26,147","7,915.13","41,881","7,399.84","61,546","7,359.23","3,562","8,059.02","2,920","12,065.73","27,893"
"1,066","בני עי""ש","3,816","9,240.33","1,872","10,821.54","1,944","7,717.69","3,517","9,220.14",184,"8,232.23",115,"11,470.71","1,107"
"9,800",בנימינה-גבעת עדה*,"7,855","17,730.52","3,866","23,240.52","3,989","12,390.43","6,527","17,740.07",675,"14,106.32",653,"21,381.46","2,065"
"1,326","בסמ""ה","4,988","7,507.19","2,922","8,939.16","2,066","5,481.91","4,588","7,273.80",278,"8,503.09",122,"14,014.65","2,133"
944,בסמת טבעון,"3,843","7,633.14","2,150","9,226.60","1,693","5,609.55","3,561","7,382.09",191,"8,904.77",91,"14,788.17","1,498"
483,בענה,"4,017","7,233.24","2,153","8,577.47","1,864","5,680.59","3,601","6,812.35",294,"8,528.10",122,"16,536.09","1,846"
"6,200",בת ים,"66,748","9,169.73","32,642","10,676.36","34,106","7,727.77","60,177","9,035.00","4,256","9,172.21","2,315","12,667.41","19,349"
33,בת שלמה,"12,196","13,484.81","6,093","16,692.53","6,103","10,282.34","10,244","13,188.44","1,041","12,804.79",911,"17,594.44","3,062"
"3,730",גבעת זאב,"8,739","10,412.30","4,149","11,696.81","4,590","9,251.22","7,586","10,279.00",665,"10,003.69",488,"13,041.34","2,622"
681,גבעת שמואל,"13,502","16,255.76","6,615","19,957.86","6,887","12,699.87","11,868","15,871.87",837,"15,339.22",797,"22,934.73","3,572"
"6,300",גבעתיים,"31,507","17,618.55","15,338","21,469.98","16,169","13,965.06","26,660","17,842.67","2,527","14,079.50","2,320","18,897.95","5,831"
35,גדות,"4,592","14,620.64","2,277","18,160.83","2,315","11,138.55","3,985","14,385.09",280,"13,390.68",327,"18,544.36","1,238"
"1,292",ג'דיידה-מכר,"10,472","7,901.34","5,786","9,440.21","4,686","6,001.25","9,532","7,509.76",599,"9,619.23",341,"15,829.71","4,180"
"2,550",גדרה,"14,061","13,287.71","6,791","16,196.49","7,270","10,570.58","12,402","13,059.77",827,"12,709.07",832,"17,260.68","3,783"
485,ג'ולס,"3,410","8,968.15","1,786","11,774.67","1,624","5,881.67","3,034","9,037.41",200,"5,870.70",176,"11,293.99","1,292"
627,ג'לג'וליה,"4,753","7,226.53","2,639","8,187.11","2,114","6,027.39","4,341","7,026.15",303,"8,018.81",109,"13,004.31","1,920"
166,גן יבנה,"13,378","13,013.26","6,514","16,128.54","6,864","10,056.83","11,914","12,843.02",821,"11,978.99",643,"17,488.21","3,644"
72,גן שמואל,"17,976","11,569.48","8,921","14,249.62","9,055","8,928.99","15,691","11,391.73",982,"11,357.24","1,303","13,869.81","5,326"
229,גני תקווה,"11,070","18,022.08","5,382","22,067.59","5,688","14,194.21","9,498","17,896.43",841,"15,303.76",731,"22,782.12","2,489"
541,ג'סר א-זרקא,"7,390","6,679.93","3,949","7,923.66","3,441","5,252.58","7,169","6,619.81",121,"6,110.03",100,"11,679.76","2,999"
39,גפן,"5,287","10,914.36","2,598","13,069.21","2,689","8,832.43","4,724","10,585.28",288,"11,515.68",275,"15,937.53","1,619"
487,ג'ש (גוש חלב),"1,742","10,565.44",890,"12,359.40",852,"8,691.47","1,472","10,401.00",150,"9,412.94",120,"14,023.17",417
628,ג'ת,"6,316","9,382.58","3,518","11,027.35","2,798","7,314.56","5,625","9,201.62",451,"8,012.35",240,"16,198.55","2,000"
494,דאלית אל-כרמל,"8,733","9,099.97","4,609","11,619.76","4,124","6,283.83","7,699","9,165.54",728,"7,196.57",306,"11,978.35","2,832"
489,דבורייה,"5,127","8,396.95","2,790","10,033.05","2,337","6,443.71","4,499","8,156.39",442,"8,342.57",186,"14,344.94","1,911"
490,דייר אל-אסד,"6,208","8,735.79","3,484","10,504.71","2,724","6,473.34","5,615","8,452.15",373,"9,681.50",220,"14,371.55","2,288"
492,דייר חנא,"5,439","8,559.49","2,926","10,239.70","2,513","6,603.15","4,947","8,324.33",321,"9,354.55",171,"13,870.26","2,121"
