שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
בענה,483,"2,516.60","8,702","8,672",0.10,55.10,99.90,93.10,6.90,-,"4,346","4,357",7.80,9,9,10.20,17.33,18.56,17.36,4,6.80,31.70,2.30,747.60,151,..,0.40,  ..,35,6.10,116,13.38,1.15,0.40,-,-,-,-,-,-18,-17,72,16,56,19,31,21,..,89,21,68,19,43,25,..,..,115,39.30,19,5.60
בת ים,"6,200","15,997.90","131,099","127,153",98.90,78.40,1.10,83.20,15.30,1.50,"62,954","68,145",5.30,5.90,5.50,5.30,10.85,18.27,18.52,5.80,24.60,19.90,12.10,870.20,"1,356",1.93,3,( 2.0),"1,448",5.76,-92,-0.72,0.18,37,"3,005",21.86,48.19,22.20,7.75,98,"-2,080","3,982","2,082","1,900",720,988,"1,912",362,"6,062","3,036","3,026","1,298","1,481","2,797",486,"5,865",885,16.30,512,10.10
גבעת זאב,"3,730","5,098.20","24,193","23,645",99.90,99.40,0.10,90.50,3.20,6.30,"12,362","11,831",14.40,13.20,11.30,8.60,14.45,18.01,9.23,3,7.80,44.10,2.80,"1,236.60",673,4.29,2,( 3.3),52,3.50,621,26.26,4.61,8,87,40.23,36.78,12.64,10.34,550,516,"1,733",962,771,686,524,486,37,"1,217",610,607,431,342,372,72,"1,001",282,66.10,59,7.50
גבעת שמואל,681,"11,123.80","28,628","28,064",99.70,98.70,0.30,100,-,-,"14,355","14,273",9.10,9.30,8.90,8,13.34,18.73,15.76,3.30,13.60,32.30,6.50,954.50,525,2.90,-,   -,144,3.70,381,13.58,1.34,9.50,48,14.58,45.83,20.83,18.75,-42,-57,"1,158",598,560,292,370,415,81,"1,215",626,589,302,420,450,43,"1,004",346,41.40,83,6.90
גבעתיים,"6,300","18,060.60","58,557","57,354",99.90,96.80,0.10,68.80,24.60,6.60,"27,908","30,649",7.40,6.90,6.30,5.40,12.48,24.16,16.54,3.80,17.10,23.90,9.30,754.60,884,1.95,0.40,  ..,419,4.40,465,8.11,0.23,8.40,128,23.44,50.78,13.28,12.50,-191,-162,"3,711","1,851","1,860",419,"1,282","1,855",155,"3,873","1,953","1,920",701,822,"2,165",185,"2,536",606,22.90,167,7.40
ג'דיידה-מכר,"1,292","2,215.80","20,149","20,116",0.10,46.10,99.90,93.40,6.60,-,"10,255","9,894",7.40,7.40,7.70,8.90,18.50,19.07,18.71,4.80,7.60,27.70,2.50,638,337,2.21,1.60,( 4.8),66,6.10,271,13.47,0.78,0.50,4,50,50,0,0,-136,-119,198,66,132,51,77,67,..,317,108,209,75,111,125,6,28,255,35.20,75,8.50
גדרה,"2,550","2,684","30,685","30,176",99.50,97.50,0.50,99.30,0.70,-,"15,053","15,632",7.70,9.30,10,9.60,11.56,18.15,19.42,3.20,11,32.90,5.10,909.20,399,2.48,0.80,  ..,120,3.80,279,9.25,2.28,8.50,18,38.89,55.56,5.56,0,421,420,"1,298",646,652,465,191,573,69,878,466,412,248,262,334,34,"1,080",210,19.90,115,9.60
ג'ולס,485,"1,663.90","6,701","6,693",-,..,100,0.30,-,99.70,"3,463","3,238",7.40,7.30,6.30,7.50,20.37,22.71,16.85,4.20,7.40,25.40,2.90,558.70,100,..,0.20,  ..,20,5.20,80,11.95,1.30,0.20,-,-,-,-,-,5,8,35,11,24,9,13,12,..,27,7,20,..,13,13,..,..,75,37.50,12,3.70
ג'לג'וליה,627,"4,352.70","10,754","10,721",1,77.80,99,100,-,-,"5,329","5,424",10,10,9.70,10.60,18.61,17.58,14.14,3.20,6.10,35.80,2.60,866.40,231,2.60,0.40,  ..,37,5.50,194,18.10,1.70,1.10,-,-,-,-,-,5,-3,101,32,69,38,39,24,..,104,33,71,36,40,28,..,..,168,49.50,31,7.80
גן יבנה,166,"2,138.30","24,473","24,335",99.70,96.60,0.30,96.30,3.70,-,"12,333","12,140",6,7.70,9.50,10.20,15.58,15.34,22.14,4.70,8.80,29.20,3.10,731,279,2.21,0.80,  ..,65,3.80,214,8.79,2.47,9.30,15,33.33,46.67,20,0,323,360,"1,275",664,611,452,231,556,36,915,484,431,220,298,352,45,674,262,31.80,87,8.50
גני תקווה,229,"11,628.20","25,092","24,728",99.90,98.40,0.10,44.50,55.50,-,"11,884","13,209",8,10.30,9.50,7.70,9.15,18.31,17.77,3.60,15.70,32.70,7.10,"1,049",298,2.35,0.20,  ..,111,3.44,187,7.56,3.37,5.50,17,5.88,52.94,23.53,17.65,642,638,"1,368",664,704,416,192,632,128,730,388,342,174,194,301,61,837,140,20.40,78,7.90
ג'סר א-זרקא,541,"9,522","15,709","15,708",0.10,-,99.90,100,-,-,"7,990","7,719",10.90,12,11.30,10.90,17.06,19.99,13.31,2.10,2.40,40.80,0.60,905.70,330,2.67,2.60,( 7.7),37,8.80,293,18.65,1.00,0.20,-,-,-,-,-,-134,-134,22,8,14,7,8,7,..,156,65,91,53,50,52,..,..,215,43.40,45,8.30
ג'ש (גוש חלב),487,..,"3,233","3,196",1.20,85,98.80,38.80,61.20,-,"1,549","1,683",6.60,6.40,6.90,7.40,13.18,18.59,21.13,5.80,14,24.20,7,703.40,45,..,   -,   -,20,(4.6),25,7.82,-0.06,1.70,-,-,-,-,-,-20,-12,36,13,23,4,20,12,..,48,25,23,18,7,23,..,..,33,29.70,7,5
ג'ת,628,"1,626.40","12,553","12,475",0.10,29.20,99.90,99.90,-,-,"6,403","6,150",9.30,8.90,8.20,8.10,17.01,20.31,15.50,4.80,7.80,31.50,2.50,736.50,225,2.35,0.20,  ..,50,5.60,175,14.03,1.44,0.50,-,-,-,-,-,0,0,128,39,89,47,51,30,..,128,45,83,49,45,34,..,10,192,53.80,22,4
דאלית אל-כרמל,494,"1,418.10","18,140","18,095",0.40,59.70,99.60,2.70,-,97.20,"9,219","8,921",7.20,7.40,7.40,7.50,14.69,21.63,19.49,4.90,9.80,26.70,3.10,646.40,261,2.07,0.20,  ..,70,5.20,191,10.56,1.81,0.40,-,-,-,-,-,142,149,243,72,171,43,79,111,10,94,36,58,17,35,38,4,196,237,46.20,59,6.70
דבורייה,489,"1,897.30","10,675","10,661",0.10,54.10,99.90,99.80,0.20,-,"5,365","5,310",8.30,8.50,8.10,8.90,17.33,18.51,17.54,4.40,8.40,30,3.20,730.10,181,2.25,0.60,  ..,33,4.90,148,13.88,1.26,0.50,-,-,-,-,-,-4,3,151,68,83,64,35,50,..,148,57,91,62,42,43,..,..,146,43.40,14,3.10
דייר אל-אסד,490,"2,412.30","12,438","12,427",-,67.70,100,99.90,0.10,-,"6,240","6,197",8.60,9.50,9.20,10.20,17.33,19.39,16.44,3.50,5.90,33.30,1.90,765.60,226,2.42,0.40,  ..,33,5.50,193,15.53,1.21,0.30,-,-,-,-,-,-53,-47,79,20,59,15,32,32,..,126,46,80,42,42,42,..,..,156,38.60,25,4.70
דייר חנא,492,"1,191.20","10,623","10,612",0.10,20.50,99.90,90.40,9.60,-,"5,298","5,326",7.50,8.40,8.30,8.70,16.59,21.59,16.94,4.20,7.80,29.30,2.90,686.30,170,1.96,0.60,  ..,37,4.70,133,12.53,1.83,0.30,-,-,-,-,-,62,62,143,40,103,39,49,54,..,81,29,52,25,28,28,..,..,113,34.50,23,4.90
דימונה,"2,200",175.70,"39,230","38,781",97.70,91.40,2.30,98,1.80,0.20,"19,496","19,734",9.20,8.70,7.70,7,14.33,18.86,16.43,4.70,13.10,29.80,5.40,842.10,710,2.81,3,( 4.4),249,6.25,461,11.89,2.35,14.20,23,13.04,56.52,8.70,21.74,256,289,"1,156",571,585,307,440,371,38,867,450,417,206,272,346,43,"2,877",463,32.90,193,14.50
הוד השרון,"9,700","3,395.10","65,393","64,254",99.90,98,0.10,82.20,8,9.80,"31,751","33,642",6.70,8.50,8.80,8.20,10.54,17.68,20.05,4.60,15,29,6.40,892.50,699,2.08,1.40,( 1.8),335,3.72,364,5.67,0.34,6.90,70,32.86,40,18.57,8.57,-149,-77,"2,143","1,035","1,108",503,384,"1,069",187,"2,220","1,113","1,107",465,628,975,152,"2,550",356,15.90,220,8.20
הר אדר,"3,769",..,"4,389","4,362",99.70,97.10,0.30,70.10,21.30,8.80,"2,232","2,157",4.50,5.80,9.30,11,14.15,13.72,24.22,4.20,13.10,26.60,5.60,774.80,44,..,   -,   -,11,1.70,33,7.57,1.42,7,5,20,40,20,20,43,48,213,112,101,66,44,101,..,165,85,80,35,56,59,15,71,19,13.70,17,9.50
הרצלייה,"6,400","4,978.10","108,650","106,033",99.70,95.60,0.30,89.30,8.40,2.40,"52,490","56,160",7.10,7.40,6.70,6.10,11.54,19.92,16.95,4.30,19.90,25,9.60,895.90,"1,372",2.09,3,( 2.2),693,3.94,679,6.40,1.31,12.20,589,24.28,45.50,20.54,9.68,999,962,"4,726","2,391","2,335",901,"1,213","2,323",289,"3,765","1,968","1,797",641,"1,127","1,740",257,"4,585",811,20.50,324,7.50
זכרון יעקב,"9,300",765.30,"24,127","23,852",99.70,96.20,0.30,96.70,3.30,-,"11,809","12,318",6.40,7.80,9.40,9.60,11.32,14.19,20.19,5.90,15.20,29.40,6.10,938.70,313,2.99,0.40,  ..,90,3.70,223,9.35,1.38,12.10,56,28.57,33.93,23.21,14.29,57,48,887,431,456,227,167,423,70,839,435,404,166,318,307,48,940,197,24,84,8.50
זמר,"1,290",932.80,"7,770","7,674",-,28.30,100,100,-,-,"4,088","3,682",9.30,9.50,9,7.90,18.12,19.81,16.58,3.90,5.90,32.30,2,710.90,151,..,0.20,  ..,28,5.80,123,16.03,2.83,0.50,-,-,-,-,-,87,65,126,43,83,50,38,36,..,61,18,43,19,22,19,..,7,88,41.90,19,6.10
זרזיר,975,"2,055.20","9,043","9,033",0.20,66.50,99.80,100,-,-,"4,480","4,563",9.60,10.30,10.20,9.30,18.50,20.99,13.50,2.80,4.80,35.70,1.60,793.50,160,..,1,( 5.6),24,5.80,136,15.06,1.12,0.40,-,-,-,-,-,-30,-30,60,16,44,14,30,16,..,90,28,62,33,39,18,..,53,135,56,24,7
חדרה,"6,500","2,092.30","106,767","105,159",98.80,92.20,1.20,96.80,2.20,0.90,"52,739","54,028",7.80,8.20,7.40,6.50,11.87,19.69,16.92,5,16.70,27.30,7.10,870.50,"1,573",2.42,4.40, 2.7,720,5.36,853,8.11,1.25,23.40,642,28.50,39.72,22.90,8.88,536,75,"3,297","1,702","1,595",748,928,"1,388",233,"3,222","1,677","1,545",868,821,"1,359",174,"5,166",914,24.20,390,9.80
חולון,"6,600","10,134.20","192,980","188,853",99.70,91.60,0.30,88.20,8.20,3.60,"92,957","100,023",6.40,7.20,7.10,6.70,11.78,17.86,18.06,5,19.80,25,9.50,897.40,"2,360",2.23,4.20, 1.6,"1,465",4.83,895,4.74,-0.29,17.80,597,23.28,46.06,21.44,9.21,"-1,455","-1,812","4,726","2,437","2,289",932,"1,339","2,096",359,"6,538","3,316","3,222","1,701","1,534","2,885",418,"7,981","1,519",20.90,626,7.70
חורה,"1,303","2,510.50","21,937","21,937",0.20,37.50,99.80,100,-,-,"10,743","11,194",16.30,14.70,12.50,11,19.71,13.62,9.15,1.20,2,50,0.70,"1,292.30",751,4.97,7.60,10.80,38,4.90,713,32.50,3.54,0.30,-,-,-,-,-,-14,..,..,..,..,..,..,..,..,17,5,12,4,6,7,..,..,295,49,47,6.80
חורפיש,496,"1,071.10","6,713","6,704",-,-,100,0.20,2.80,97.10,"3,490","3,223",8.30,8.20,7.80,7.80,17.59,21.99,17.80,3.80,6.80,29,2.50,635.70,121,..,0.40,  ..,21,4.70,100,14.92,1.58,0.50,-,-,-,-,-,-4,3,49,15,34,12,18,19,..,46,14,32,7,18,21,..,..,86,47.90,25,8
חיפה,"4,000","4,539.60","298,311","291,620",86.30,83.30,13.70,51.80,46.80,1.40,"144,107","154,205",6.20,6.70,6.40,6,13.72,19.20,16.51,4.90,20.40,22.90,10.30,840.30,"3,451",1.84,6, 1.6,"2,549",4.92,902,3.09,1.33,26.10,"6,652",21.93,46.72,23.54,7.80,"3,410","-2,098","9,123","4,658","4,465","1,665","3,040","3,895",523,"11,221","5,661","5,560","2,433","3,066","4,908",814,"18,228","1,944",16.60,"1,001",8.80
חצור הגלילית,"2,034","2,024.50","11,061","10,960",99.40,98,0.60,97.70,-,2.30,"5,641","5,420",11,10,8,7.50,15.54,17.81,13.05,4.60,12.40,33.70,4.50,960.30,257,3.59,0.20,  ..,56,6.20,201,18.34,1.54,6,..,..,..,0,0,-71,-50,416,210,206,147,113,147,9,466,240,226,141,141,168,16,583,177,54.90,35,9.20
חריש,"1,247","4,365.50","39,001","38,812",98.30,91.70,1.70,98.40,1.20,0.40,"19,557","19,444",17.30,15.20,9,4.50,10.90,26.69,9.65,2,4.70,44.60,1.30,"1,031.30","1,096",3.59,1.80,( 2.2),58,3.91,"1,038",26.74,7.81,17.20,138,23.19,30.43,21.74,24.64,"2,201","2,093","4,237","2,165","2,072","1,367",995,"1,655",220,"2,144","1,058","1,086",828,448,802,66,"2,471",240,45.30,170,14.60
טבריה,"6,700","3,178.40","51,476","50,922",98.30,93.60,1.70,58.80,31.60,9.70,"25,747","25,729",11.40,9.70,7.40,6.50,14.35,17.52,14.29,4.70,14,32.50,5.70,964.20,"1,213",3.63,3,( 2.8),321,5.79,892,17.52,3.26,12.20,168,38.10,36.31,16.07,9.52,698,98,"1,700",887,813,576,558,510,56,"1,602",807,795,460,476,567,99,"3,411",536,31.80,191,10.90
טובא-זנגרייה,962,"1,897.20","7,109","7,095",0.10,81.10,99.90,100,-,-,"3,443","3,666",10.80,11.60,10,10.70,16.56,23.07,13.28,1.80,2.10,39,0.60,828.40,130,..,0.20,  ..,21,6.40,109,15.36,1.00,0.20,-,-,-,-,-,-41,-35,24,6,18,5,6,13,..,59,21,38,18,22,19,..,..,71,30.40,20,7.40
טורעאן,498,"1,198.40","14,731","14,723",-,14.60,100,89.50,10.50,-,"7,506","7,225",8.60,9.60,9.50,9.80,16.31,19.35,15.40,3.80,7.60,33.70,2.60,823.60,278,2.60,0.80,  ..,42,5.30,236,16.03,1.36,0.20,-,-,-,-,-,-42,-31,94,35,59,27,49,17,..,125,44,81,31,54,38,..,..,217,52.20,18,2.80
טייבה,"2,730","2,443.10","46,192","46,111",0.10,40.80,99.90,100,-,-,"23,440","22,753",8.80,9.30,9.20,10.40,17.05,19.04,16.36,3.80,6,33.50,2.20,778.70,777,2.25,2.80,( 3.5),176,6.41,601,13.03,1.52,0.40,-,-,-,-,-,89,50,316,119,197,106,110,96,4,266,101,165,101,87,77,..,7,613,43,136,7.40
טירה,"2,720","2,261.90","27,227","27,122",0.20,50.30,99.80,99.90,0.10,-,"13,434","13,793",8.60,9.10,8.30,8.70,16.72,20.13,15.77,4.30,8.40,31.10,3,757.50,453,2.19,0.80,  ..,109,5.75,344,12.68,1.31,0.60,..,..,0,0,0,23,31,214,76,138,79,68,67,..,183,70,113,59,64,59,..,32,405,45.10,136,11.90
טירת כרמל,"2,100","5,382.60","31,896","31,604",99,92,1,44.60,52.40,2.90,"15,485","16,411",10.10,9.30,6.40,5.30,10.63,24.47,13.98,4.80,15,29,5.50,855.30,558,2.43,0.20,  ..,190,5.81,368,11.64,4.39,19.60,112,28.57,40.18,21.43,9.82,995,905,"1,667",841,826,405,322,810,130,762,403,359,203,163,357,39,"1,235",249,26.20,124,10.90
טמרה,"8,900","1,217.70","36,252","36,205",0.10,25.70,99.90,99.90,0.10,-,"18,325","17,927",8.20,8.60,9.10,9.80,17.03,18.84,17.46,4,7,31.70,2.20,744,599,2.28,2,( 3.3),113,5.40,486,13.42,1.48,0.30,-,-,-,-,-,53,49,197,63,134,46,91,58,..,148,50,98,31,73,44,..,18,483,44.20,88,5.80
יאנוח-ג'ת,"1,295",507.20,"6,875","6,871",-,100,100,-,-,100,"3,375","3,499",8.30,9.10,9.20,9.90,15.94,22.56,16.92,2.90,5.20,32.50,1.60,713.20,102,..,0.20,  ..,19,5.30,83,12.08,1.06,0.10,-,-,-,-,-,-19,-19,41,9,32,4,27,9,..,60,13,47,11,29,20,..,24,84,43.80,14,4.40
יבנה,"2,660","1,979.50","57,725","56,884",99.80,97,0.20,96.80,2.40,0.80,"28,887","28,838",10.10,11.60,8.80,6.10,10.21,23.24,13.78,3.90,12.30,34.30,3.90,957.40,998,2.62,1,( 1.0),197,4.48,801,14.08,1.81,9.70,39,28.21,41.03,20.51,10.26,197,227,"1,815",895,920,542,364,793,116,"1,588",808,780,476,366,655,91,"2,336",481,32.30,237,10.30
יהוד-מונוסון,"9,400","5,008.70","32,072","31,143",99.80,97.80,0.20,97.50,-,2.50,"16,048","16,024",6.80,7.70,7.40,7.40,11.46,18.23,18.78,4.80,17.50,26.30,7.10,878.60,384,2.26,0.40,  ..,208,4.50,176,5.65,0.86,6.50,26,26.92,46.15,7.69,19.23,41,96,"1,039",490,549,251,198,513,77,943,471,472,206,291,391,55,"1,247",223,20.40,102,7.80
יפיע,499,"4,558.40","18,602","18,583",-,33.50,100,84.60,15.40,-,"9,191","9,411",8.50,8.60,9,9,17.25,20.17,15.85,3.90,7.60,31.40,2.70,748.60,357,2.33,0.80,  ..,76,5.20,281,15.12,1.66,0.40,-,-,-,-,-,0,20,220,85,135,70,83,62,5,200,77,123,48,90,60,..,10,288,48.50,44,5.20
יקנעם עילית,240,"2,701.30","24,909","24,716",99.90,90.70,0.10,29.60,3.10,67.30,"12,130","12,779",6.60,8.40,8.10,7.80,12.80,17.74,20.69,4.60,13.30,27.90,5.30,792.40,287,2.13,0.40,  ..,119,4.67,168,6.80,2.71,22.30,124,29.03,36.29,20.16,14.52,420,379,"1,036",508,528,309,164,480,83,657,344,313,142,195,276,44,"1,192",189,22.80,110,10.90
ירוחם,831,203.20,"11,910","11,698",94.40,93.20,5.60,100,-,-,"6,030","5,880",10.30,10.70,9.20,8.30,15.38,18.25,14.14,3.90,9.90,35.10,3.90,937.10,232,3.17,1,( 4.1),62,7.30,170,14.53,2.33,13.20,18,38.89,44.44,11.11,5.56,32,38,501,256,245,171,113,197,20,463,244,219,148,136,167,12,554,142,37.60,40,10
ירושלים,"3,000","8,155.30","1,028,366","980,674",60.10,97.90,39.90,96.60,3.30,-,"519,362","509,004",11.70,10.50,9.70,9.50,17.91,16.45,11.62,3.10,9.40,37.40,4.40,"1,037.80","24,955",3.64,74.80, 3.0,"3,935",4.72,"21,020",21.43,1.23,8.30,"3,253",20.97,50.63,15.95,12.45,"-9,167","-10,774","11,975","6,426","5,549","3,334","5,210","3,014",417,"22,749","12,036","10,713","7,563","8,062","6,224",900,"41,283","13,479",47.50,"2,587",7
ירכא,502,"1,027","16,543","16,511",0.30,83.90,99.70,1.10,0.10,98.80,"8,549","7,995",7.90,8.30,8.50,8.90,17.62,22.26,16.07,3.80,6.60,30.20,2.30,675.10,250,1.86,1.80,( 6.7),38,5.10,212,12.84,1.26,0.30,-,-,-,-,-,17,29,87,22,65,10,44,33,..,58,16,42,7,28,22,..,8,257,48.60,42,5.40
כאבול,504,"1,695.40","12,338","12,336",0.10,64.90,99.90,99.90,-,-,"6,404","5,934",8.90,9.30,9.20,9.80,17.39,20.62,15.99,3.60,5.30,33.40,1.80,736.50,222,2.23,1,( 4.5),34,5.40,188,15.24,1.68,0.20,-,-,-,-,-,21,31,107,34,73,30,43,34,..,76,25,51,16,39,20,..,..,172,41.10,29,4.70
כאוכב אבו אל-היג'א,505,..,"4,039","4,038",0.10,11.10,99.90,100,-,-,"2,053","1,986",8.50,9.80,10,9.80,14.56,22.04,15.42,3,6.90,33.80,2.80,819,49,..,0.20,  ..,12,(5.2),37,9.16,1.03,0.50,..,..,0,0,0,1,2,31,12,19,6,12,11,..,29,5,24,8,16,5,..,..,20,17,7,4.30
כוכב יאיר,"1,224","3,040.10","9,278","9,231",99.80,99,0.20,87.90,-,12.10,"4,650","4,628",5.40,8,8.40,8.10,11.56,13.18,20.47,7.60,17.20,26.70,5.10,893.10,85,..,   -,   -,25,3.30,60,6.50,1.02,5.80,3,33.33,33.33,0,33.33,-35,-1,381,206,175,139,50,184,8,382,190,192,66,147,157,12,224,55,19.60,34,8
כסיפה,"1,059","1,485.50","20,093","20,093",0.10,34,99.90,100,-,-,"10,004","10,088",16.40,13.80,11.80,10.50,19.11,15.15,9.78,1.40,2,48.40,0.60,"1,199.80",697,4.78,4.60, 6.7,36,5.20,661,32.90,3.75,0.20,-,-,-,-,-,4,..,..,..,..,..,..,..,..,8,..,5,..,4,..,..,..,278,44.90,44,6.50
כסרא-סמיע,"1,296",651.10,"9,217","9,213",0.10,20,99.90,1.10,3.10,95.80,"4,635","4,582",9.80,9.60,9.20,9.50,16.12,22.99,14.27,3.40,5.20,34.60,1.40,761,199,2.63,1.20,( 6.5),14,5.20,185,20.08,2.08,0.20,..,..,0,0,0,-7,-4,44,9,35,7,23,14,..,48,7,41,6,28,14,..,7,152,65,11,2.60
כעביה-טבאש-חג'אג'רה,978,"3,324.30","6,422","6,417",0.20,100,99.80,100,-,-,"3,174","3,248",10.10,11.20,10.20,10.40,17.32,21.49,13.61,2.30,3.40,37.70,1,826.50,116,..,0.20,  ..,14,5.80,102,15.90,2.07,0.10,-,-,-,-,-,26,23,82,24,58,28,33,20,..,59,8,51,17,31,11,..,22,115,64.90,13,5.70
כפר ברא,633,..,"3,894","3,883",-,-,100,100,-,-,"2,010","1,884",12,9.90,9.40,9.10,22.01,17.23,13.10,3.10,4.20,36.70,1.50,805.30,111,..,0.20,  ..,9,(4.6),102,26.27,2.97,0.40,-,-,-,-,-,3,4,62,24,38,23,21,18,..,58,20,38,26,19,13,..,..,83,74.80,12,7.80
כפר ורדים,"1,263","1,177.60","5,718","5,681",94.80,95.30,5.20,21.50,53.30,25.20,"2,764","2,954",3.60,6.20,8.30,9.10,10.51,12.40,20.95,6.40,22.60,24,8.60,990.90,29,..,0.20,  ..,23,3.50,6,1.06,-0.19,9.40,11,27.27,18.18,36.36,18.18,-60,-37,305,140,165,92,34,139,40,342,170,172,54,108,156,24,111,21,10.20,19,7.80
כפר יאסיף,507,"3,259.90","10,644","10,620",0.10,35.70,99.90,45.80,51.40,2.80,"5,365","5,279",6.90,7.80,7.60,8,14.14,22.04,17.76,4.90,10.80,27.20,3.90,699.90,150,1.94,0.20,  ..,45,5.50,105,9.89,0.34,0.70,..,..,0,0,0,-86,-75,124,41,83,29,46,46,..,199,82,117,55,67,72,5,..,110,33,34,7.40
כפר יונה,168,"2,566.90","29,548","29,406",100,96.90,-,100,-,-,"14,759","14,789",9,9.50,9.20,8,11.81,20.72,17.32,3.80,10.60,32.80,3.60,863.50,437,2.33,1,( 2.3),75,3.50,362,12.31,1.33,10.30,43,30.23,44.19,18.60,6.98,119,218,"1,236",615,621,335,267,555,79,"1,018",530,488,246,249,455,68,863,248,28.20,115,9.70
כפר כמא,508,..,"3,455","3,420",0.50,51.70,99.50,100,-,-,"1,722","1,733",7.60,7.10,7.10,6.60,15.22,22.95,15.14,4.40,14,25.60,4.90,732.70,52,..,   -,   -,20,(5.5),32,9.36,0.86,1.70,-,-,-,-,-,-2,5,17,6,11,5,5,7,..,12,7,5,..,9,..,..,..,50,50.90,4,..
כפר כנא,509,"2,479.50","24,935","24,919",0.10,67.60,99.90,91.10,8.90,-,"12,625","12,310",9.50,9.30,9.10,9.60,17.82,18.68,15.04,3.80,7.20,33.70,2.40,807.20,433,2.35,2,( 4.3),53,4.40,380,15.25,1.54,0.30,..,..,0,0,0,29,23,250,81,169,69,93,87,..,227,67,160,73,93,56,5,8,352,51.50,25,2.50
כפר מנדא,510,"1,971.60","21,742","21,597",-,59.20,100,100,-,-,"11,262","10,480",10.10,10,9.90,9.20,19.20,20.30,12.55,3.20,5.70,35.30,1.90,809.90,433,2.37,1.80,( 4.0),43,5.20,390,18.06,1.92,0.40,-,-,-,-,-,44,44,135,62,73,28,52,55,..,91,27,64,25,40,26,..,..,318,58.20,44,4.80
כפר סבא,"6,900","6,904.20","100,013","98,019",99.80,96.40,0.20,95,4,1,"47,558","52,455",6.30,8,8.10,6.90,9.22,17.87,18.34,4.40,20.90,26.70,9.80,"1,005.90","1,070",2.15,0.60,  ..,690,4.06,380,3.88,-0.07,11.20,217,22.58,38.25,23.04,16.13,-712,-554,"2,556","1,288","1,268",533,483,"1,333",207,"3,110","1,614","1,496",723,774,"1,395",218,"3,807",612,17,333,7.90
כפר קאסם,634,"2,910","27,120","26,360",0.20,48.20,99.80,99.90,-,-,"14,029","13,091",10,9.60,9.60,9.80,18.55,20.13,14.29,3.20,4.90,34.80,1.60,781.90,495,2.31,3.40,( 6.4),77,5.78,418,15.86,1.87,0.70,-,-,-,-,-,109,99,173,69,104,72,53,48,..,74,28,46,20,29,25,..,31,385,53.50,92,9.10
כפר קרע,654,"2,634.50","20,581","20,551",0.10,32.50,99.90,99.90,0.10,-,"10,296","10,284",9.20,8.70,9,8.80,16.64,20.93,16.10,4,6.70,32.10,2.10,735,371,2.24,1.40,( 3.8),71,5.53,300,14.60,2.21,0.50,-,-,-,-,-,151,152,298,106,192,94,104,99,..,146,51,95,51,49,45,..,50,299,50.30,37,4.30
